,target,output,question
0,yes,no,Fred gave the football to Jeff.
1,no,no,Fred gave the football to Bill.
2,yes,no,Mary gave the milk to Bill.
3,no,no,Mary gave the milk to Fred.
4,yes,no,Fred gave the milk to Jeff.
5,no,no,Fred gave the milk to Mary.
6,yes,no,Mary gave the milk to Fred.
7,no,no,Mary gave the football to Fred.
8,yes,no,Fred received the milk.
9,no,no,Mary received the milk.
10,yes,no,Mary gave the apple to Jeff.
11,no,no,Mary gave the football to Jeff.
12,yes,no,Mary gave the apple to Jeff.
13,no,no,Mary gave the football to Jeff.
14,yes,no,Fred gave the apple to Bill.
15,no,no,Fred gave the milk to Bill.
16,yes,no,Jeff gave the milk to Fred.
17,no,no,Fred gave the milk to Fred.
18,yes,no,Fred gave the apple to Mary.
19,no,no,Bill gave the apple to Mary.
20,yes,no,Jeff received the football.
21,no,no,Fred received the football.
22,yes,no,Mary gave the football to Jeff.
23,no,no,Mary gave the football to Fred.
24,yes,no,Mary gave the milk to Bill.
25,no,no,Mary gave the apple to Bill.
26,yes,no,Mary gave the milk to Bill.
27,no,no,Mary gave the milk to Fred.
28,yes,no,Mary gave the milk to Bill.
29,no,no,Mary gave the football to Bill.
30,yes,no,Fred gave the apple to Mary.
31,no,no,Fred gave the milk to Mary.
32,yes,no,Mary received the football.
33,no,no,Bill received the football.
34,yes,no,Fred gave the apple to Bill.
35,no,no,Fred gave the football to Bill.
36,yes,no,Jeff received the apple.
37,no,no,Mary received the apple.
38,yes,no,Mary gave the football to Bill.
39,no,no,Mary gave the football to Jeff.
40,yes,no,Fred gave the milk to Jeff.
41,no,no,Mary gave the milk to Jeff.
42,yes,no,Mary received the milk.
43,no,no,Fred received the milk.
44,yes,no,Mary gave the milk.
45,no,no,Jeff gave the milk.
46,yes,no,Bill gave the milk to Mary.
47,no,no,Bill gave the apple to Mary.
48,yes,no,Jeff gave the milk to Bill.
49,no,no,Jeff gave the football to Bill.
50,yes,no,Jeff gave the football to Fred.
51,no,no,Jeff gave the milk to Fred.
52,yes,no,Mary gave the football.
53,no,no,Jeff gave the football.
54,yes,no,Mary gave the apple to Bill.
55,no,no,Bill gave the apple to Bill.
56,yes,no,Fred received the apple.
57,no,no,Bill received the apple.
58,yes,no,Mary gave the milk to Bill.
59,no,no,Bill gave the milk to Bill.
60,yes,no,Mary gave the milk to Jeff.
61,no,no,Mary gave the apple to Jeff.
62,yes,no,Mary gave the milk.
63,no,no,Fred gave the milk.
64,yes,no,Fred gave the apple to Mary.
65,no,no,Mary gave the apple to Mary.
66,yes,no,Bill gave the football to Mary.
67,no,no,Bill gave the milk to Mary.
68,yes,no,Fred gave the apple to Mary.
69,no,no,Fred gave the football to Mary.
70,yes,yes,Fred gave the apple to Bill.
71,no,no,Fred gave the football to Bill.
72,yes,no,Jeff gave the milk.
73,no,no,Fred gave the milk.
74,yes,no,Mary gave the apple to Bill.
75,no,no,Mary gave the apple to Mary.
76,yes,no,Fred gave the football to Mary.
77,no,no,Mary gave the football to Mary.
78,yes,no,Mary gave the milk to Fred.
79,no,no,Mary gave the football to Fred.
80,yes,no,Fred gave the milk to Mary.
81,no,no,Fred gave the football to Mary.
82,yes,no,Mary gave the football.
83,no,no,Jeff gave the football.
84,yes,no,Fred received the apple.
85,no,no,Jeff received the apple.
86,yes,no,Mary gave the apple.
87,no,no,Fred gave the apple.
88,yes,yes,Fred gave the apple to Bill.
89,no,no,Mary gave the apple to Bill.
90,yes,no,Fred gave the apple to Bill.
91,no,no,Fred gave the milk to Bill.
92,yes,no,Fred received the apple.
93,no,no,Mary received the apple.
94,yes,no,Fred received the milk.
95,no,no,Bill received the milk.
96,yes,no,Mary received the football.
97,no,no,Fred received the football.
98,yes,no,Bill gave the apple to Mary.
99,no,no,Bill gave the milk to Mary.
100,yes,no,Mary gave the apple to Fred.
101,no,no,Mary gave the milk to Fred.
102,yes,no,Fred gave the apple to Bill.
103,no,no,Fred gave the football to Bill.
104,yes,no,Fred gave the apple to Bill.
105,no,no,Fred gave the football to Bill.
106,yes,no,Jeff gave the milk to Fred.
107,no,no,Jeff gave the football to Fred.
108,yes,no,Mary received the milk.
109,no,no,Fred received the milk.
110,yes,no,Jeff gave the football.
111,no,no,Bill gave the football.
112,yes,yes,Bill gave the football to Fred.
113,no,no,Mary gave the football to Fred.
114,yes,no,Mary received the football.
115,no,no,Jeff received the football.
116,yes,no,Mary gave the football to Fred.
117,no,no,Fred gave the football to Fred.
118,yes,no,Bill gave the milk to Jeff.
119,no,no,Bill gave the milk to Bill.
120,yes,no,Fred gave the football to Jeff.
121,no,no,Jeff gave the football to Jeff.
122,yes,no,Jeff gave the apple to Fred.
123,no,no,Mary gave the apple to Fred.
124,yes,no,Bill received the milk.
125,no,no,Fred received the milk.
126,yes,no,Bill gave the apple to Jeff.
127,no,no,Bill gave the apple to Fred.
128,yes,no,Mary gave the milk to Fred.
129,no,no,Mary gave the football to Fred.
130,yes,no,Jeff received the apple.
131,no,no,Bill received the apple.
132,yes,no,Jeff gave the apple to Bill.
133,no,no,Bill gave the apple to Bill.
134,yes,yes,Mary gave the apple to Fred.
135,no,no,Mary gave the milk to Fred.
136,yes,no,Fred gave the apple to Bill.
137,no,no,Fred gave the apple to Mary.
