,target,output,question
0,yes,no,The football before the garden was in the kitchen.
1,no,no,The football before the garden was in the garden.
2,yes,no,The apple before the kitchen was in the bathroom.
3,no,no,The apple before the kitchen was in the office.
4,yes,no,The apple before the garden was in the kitchen.
5,no,no,The apple before the garden was in the bedroom.
6,yes,no,The apple before the bedroom was in the garden.
7,no,no,The apple before the bedroom was in the hallway.
8,yes,no,The football before the bathroom was in the kitchen.
9,no,no,The football before the bathroom was in the hallway.
10,yes,no,The football before the hallway was in the office.
11,no,no,The football before the hallway was in the kitchen.
12,yes,no,The apple before the bathroom was in the garden.
13,no,no,The apple before the bathroom was in the office.
14,yes,no,The milk before the bathroom was in the office.
15,no,no,The milk before the bathroom was in the hallway.
16,yes,no,The apple before the bathroom was in the hallway.
17,no,no,The apple before the bathroom was in the bedroom.
18,yes,no,The milk before the garden was in the kitchen.
19,no,no,The milk before the garden was in the bathroom.
20,yes,no,The milk before the bedroom was in the kitchen.
21,no,no,The milk before the bedroom was in the bedroom.
22,yes,no,The football before the hallway was in the garden.
23,no,no,The football before the hallway was in the bedroom.
24,yes,no,The milk before the kitchen was in the hallway.
25,no,no,The milk before the kitchen was in the kitchen.
26,yes,no,The apple before the bathroom was in the bedroom.
27,no,no,The apple before the bathroom was in the office.
28,yes,no,The apple before the bathroom was in the bedroom.
29,no,no,The apple before the bathroom was in the kitchen.
30,yes,no,The milk before the office was in the kitchen.
31,no,no,The milk before the office was in the office.
32,yes,no,The milk before the kitchen was in the bedroom.
33,no,no,The milk before the kitchen was in the office.
34,yes,no,The football before the kitchen was in the bathroom.
35,no,no,The football before the kitchen was in the garden.
36,yes,no,The milk before the office was in the garden.
37,no,no,The milk before the office was in the kitchen.
38,yes,no,The football before the bedroom was in the bathroom.
39,no,no,The football before the bedroom was in the kitchen.
40,yes,no,The milk before the office was in the kitchen.
41,no,no,The milk before the office was in the office.
42,yes,no,The apple before the garden was in the kitchen.
43,no,no,The apple before the garden was in the garden.
44,yes,no,The milk before the office was in the bedroom.
