,target,output,question
0,yes,no,The football before the garden was in the kitchen.
1,no,no,The football before the garden was in the office.
2,yes,yes,The apple before the kitchen was in the bathroom.
3,no,no,The apple before the kitchen was in the kitchen.
4,yes,no,The apple before the garden was in the kitchen.
5,no,no,The apple before the garden was in the bathroom.
6,yes,no,The apple before the bedroom was in the garden.
7,no,no,The apple before the bedroom was in the kitchen.
8,yes,no,The football before the bathroom was in the kitchen.
9,no,no,The football before the bathroom was in the bedroom.
10,yes,no,The football before the hallway was in the office.
11,no,no,The football before the hallway was in the garden.
12,yes,no,The apple before the bathroom was in the garden.
13,no,no,The apple before the bathroom was in the office.
14,yes,no,The milk before the bathroom was in the office.
15,no,no,The milk before the bathroom was in the kitchen.
16,yes,no,The apple before the bathroom was in the hallway.
17,no,no,The apple before the bathroom was in the bathroom.
18,yes,no,The milk before the garden was in the kitchen.
19,no,no,The milk before the garden was in the office.
20,yes,no,The milk before the bedroom was in the kitchen.
21,no,no,The milk before the bedroom was in the office.
22,yes,no,The football before the hallway was in the garden.
23,no,no,The football before the hallway was in the office.
24,yes,no,The milk before the kitchen was in the hallway.
25,no,no,The milk before the kitchen was in the kitchen.
26,yes,no,The apple before the bathroom was in the bedroom.
27,no,no,The apple before the bathroom was in the office.
28,yes,no,The apple before the bathroom was in the bedroom.
29,no,no,The apple before the bathroom was in the office.
30,yes,no,The milk before the office was in the kitchen.
31,no,no,The milk before the office was in the bedroom.
32,yes,no,The milk before the kitchen was in the bedroom.
33,no,no,The milk before the kitchen was in the office.
34,yes,no,The football before the kitchen was in the bathroom.
35,no,no,The football before the kitchen was in the hallway.
36,yes,no,The milk before the office was in the garden.
37,no,no,The milk before the office was in the hallway.
38,yes,no,The football before the bedroom was in the bathroom.
39,no,no,The football before the bedroom was in the bedroom.
40,yes,no,The milk before the office was in the kitchen.
41,no,no,The milk before the office was in the hallway.
42,yes,no,The apple before the garden was in the kitchen.
43,no,no,The apple before the garden was in the office.
44,yes,no,The milk before the office was in the bedroom.
45,no,no,The milk before the office was in the office.
46,yes,no,The apple before the bedroom was in the hallway.
47,no,no,The apple before the bedroom was in the kitchen.
48,yes,no,The apple before the kitchen was in the bedroom.
49,no,no,The apple before the kitchen was in the hallway.
50,yes,no,The apple before the hallway was in the bathroom.
51,no,no,The apple before the hallway was in the hallway.
52,yes,no,The milk before the office was in the bathroom.
53,no,no,The milk before the office was in the bedroom.
54,yes,no,The football before the bedroom was in the office.
55,no,no,The football before the bedroom was in the bedroom.
56,yes,no,The football before the hallway was in the bedroom.
57,no,no,The football before the hallway was in the bathroom.
58,yes,no,The apple before the bedroom was in the kitchen.
59,no,no,The apple before the bedroom was in the hallway.
60,yes,no,The football before the bathroom was in the hallway.
61,no,no,The football before the bathroom was in the kitchen.
62,yes,no,The milk before the garden was in the kitchen.
63,no,no,The milk before the garden was in the bathroom.
64,yes,no,The milk before the garden was in the office.
65,no,no,The milk before the garden was in the bedroom.
66,yes,no,The milk before the garden was in the bedroom.
67,no,no,The milk before the garden was in the office.
68,yes,no,The football before the bedroom was in the hallway.
69,no,no,The football before the bedroom was in the bedroom.
70,yes,no,The apple before the bathroom was in the hallway.
71,no,no,The apple before the bathroom was in the kitchen.
72,yes,no,The milk before the bathroom was in the office.
73,no,no,The milk before the bathroom was in the garden.
74,yes,no,The football before the bedroom was in the garden.
75,no,no,The football before the bedroom was in the bathroom.
76,yes,no,The milk before the kitchen was in the office.
77,no,no,The milk before the kitchen was in the hallway.
78,yes,no,The milk before the bedroom was in the garden.
79,no,no,The milk before the bedroom was in the office.
80,yes,no,The football before the bathroom was in the hallway.
81,no,no,The football before the bathroom was in the bathroom.
