,target,output,question
0,yes,no,The football before the garden was in the kitchen.
1,no,no,The football before the garden was in the bedroom.
2,yes,no,The football before the hallway was in the garden.
3,no,no,The football before the hallway was in the bathroom.
4,yes,no,The football before the hallway was in the office.
5,no,no,The football before the hallway was in the garden.
6,yes,no,The apple before the office was in the kitchen.
7,no,no,The apple before the office was in the bedroom.
8,yes,no,The milk before the hallway was in the garden.
9,no,no,The milk before the hallway was in the office.
10,yes,no,The milk before the office was in the hallway.
11,no,no,The milk before the office was in the office.
12,yes,no,The milk before the office was in the kitchen.
13,no,no,The milk before the office was in the office.
14,yes,no,The football before the kitchen was in the hallway.
15,no,no,The football before the kitchen was in the bedroom.
16,yes,no,The milk before the hallway was in the garden.
17,no,no,The milk before the hallway was in the kitchen.
18,yes,no,The milk before the bedroom was in the kitchen.
19,no,no,The milk before the bedroom was in the bedroom.
20,yes,no,The football before the kitchen was in the office.
21,no,no,The football before the kitchen was in the hallway.
22,yes,no,The milk before the office was in the kitchen.
23,no,no,The milk before the office was in the bathroom.
24,yes,no,The milk before the kitchen was in the bedroom.
25,no,no,The milk before the kitchen was in the office.
26,yes,no,The football before the garden was in the kitchen.
27,no,no,The football before the garden was in the bathroom.
28,yes,no,The football before the garden was in the kitchen.
29,no,no,The football before the garden was in the garden.
30,yes,no,The milk before the kitchen was in the hallway.
31,no,no,The milk before the kitchen was in the bedroom.
32,yes,no,The apple before the office was in the hallway.
33,no,no,The apple before the office was in the garden.
34,yes,no,The apple before the office was in the bathroom.
35,no,no,The apple before the office was in the garden.
36,yes,no,The apple before the bedroom was in the hallway.
37,no,no,The apple before the bedroom was in the office.
38,yes,no,The milk before the office was in the bedroom.
39,no,no,The milk before the office was in the office.
40,yes,no,The football before the bedroom was in the bathroom.
41,no,no,The football before the bedroom was in the bedroom.
42,yes,no,The football before the hallway was in the garden.
43,no,no,The football before the hallway was in the office.
44,yes,no,The apple before the hallway was in the bathroom.
45,no,no,The apple before the hallway was in the bedroom.
46,yes,no,The milk before the office was in the bathroom.
47,no,no,The milk before the office was in the hallway.
48,yes,no,The milk before the bathroom was in the kitchen.
49,no,no,The milk before the bathroom was in the hallway.
50,yes,no,The milk before the bathroom was in the office.
51,no,no,The milk before the bathroom was in the kitchen.
52,yes,no,The football before the bathroom was in the hallway.
53,no,no,The football before the bathroom was in the bedroom.
54,yes,no,The milk before the garden was in the kitchen.
55,no,no,The milk before the garden was in the bathroom.
56,yes,no,The football before the bathroom was in the bedroom.
57,no,no,The football before the bathroom was in the hallway.
58,yes,no,The milk before the bathroom was in the bedroom.
59,no,no,The milk before the bathroom was in the garden.
60,yes,no,The apple before the bedroom was in the hallway.
61,no,no,The apple before the bedroom was in the garden.
62,yes,no,The football before the hallway was in the bathroom.
63,no,no,The football before the hallway was in the kitchen.
64,yes,no,The apple before the garden was in the kitchen.
65,no,no,The apple before the garden was in the office.
66,yes,no,The football before the garden was in the hallway.
67,no,no,The football before the garden was in the bathroom.
68,yes,no,The apple before the garden was in the hallway.
69,no,no,The apple before the garden was in the bathroom.
70,yes,no,The milk before the office was in the bedroom.
71,no,no,The milk before the office was in the hallway.
72,yes,no,The football before the office was in the bedroom.
73,no,no,The football before the office was in the bathroom.
74,yes,no,The apple before the bedroom was in the kitchen.
75,no,no,The apple before the bedroom was in the bathroom.
76,yes,no,The milk before the bedroom was in the bathroom.
77,no,no,The milk before the bedroom was in the office.
78,yes,no,The milk before the bedroom was in the garden.
79,no,no,The milk before the bedroom was in the office.
80,yes,no,The football before the kitchen was in the garden.
81,no,no,The football before the kitchen was in the bedroom.
82,yes,no,The football before the bathroom was in the office.
83,no,no,The football before the bathroom was in the bathroom.
84,yes,no,The football before the bedroom was in the garden.
85,no,no,The football before the bedroom was in the bedroom.
86,yes,no,The milk before the office was in the garden.
87,no,no,The milk before the office was in the bathroom.
88,yes,no,The milk before the office was in the garden.
89,no,no,The milk before the office was in the hallway.
90,yes,no,The milk before the hallway was in the garden.
91,no,no,The milk before the hallway was in the bathroom.
92,yes,no,The football before the garden was in the hallway.
93,no,no,The football before the garden was in the office.
94,yes,no,The football before the bedroom was in the garden.
95,no,no,The football before the bedroom was in the bedroom.
96,yes,no,The football before the kitchen was in the office.
97,no,no,The football before the kitchen was in the bathroom.
98,yes,no,The apple before the kitchen was in the office.
99,no,no,The apple before the kitchen was in the kitchen.
100,yes,no,The apple before the office was in the hallway.
101,no,no,The apple before the office was in the bathroom.
102,yes,no,The milk before the office was in the kitchen.
103,no,no,The milk before the office was in the bedroom.
104,yes,no,The football before the bedroom was in the garden.
105,no,no,The football before the bedroom was in the kitchen.
106,yes,no,The apple before the kitchen was in the hallway.
107,no,no,The apple before the kitchen was in the kitchen.
108,yes,no,The football before the hallway was in the bathroom.
109,no,no,The football before the hallway was in the garden.
110,yes,no,The milk before the bedroom was in the hallway.
111,no,no,The milk before the bedroom was in the kitchen.
112,yes,no,The milk before the office was in the garden.
113,no,no,The milk before the office was in the bathroom.
114,yes,no,The football before the garden was in the bathroom.
115,no,no,The football before the garden was in the hallway.
116,yes,no,The football before the kitchen was in the garden.
117,no,no,The football before the kitchen was in the office.
118,yes,no,The milk before the office was in the bedroom.
119,no,no,The milk before the office was in the bathroom.
120,yes,no,The apple before the kitchen was in the bathroom.
121,no,no,The apple before the kitchen was in the bedroom.
122,yes,no,The football before the hallway was in the kitchen.
123,no,no,The football before the hallway was in the bedroom.
124,yes,no,The milk before the garden was in the office.
125,no,no,The milk before the garden was in the bathroom.
126,yes,no,The milk before the office was in the kitchen.
127,no,no,The milk before the office was in the bathroom.
128,yes,no,The apple before the office was in the hallway.
129,no,no,The apple before the office was in the kitchen.
130,yes,no,The apple before the bathroom was in the bedroom.
131,no,no,The apple before the bathroom was in the kitchen.
132,yes,no,The apple before the kitchen was in the office.
133,no,no,The apple before the kitchen was in the bedroom.
134,yes,no,The football before the hallway was in the kitchen.
135,no,no,The football before the hallway was in the bathroom.
136,yes,no,The football before the office was in the garden.
137,no,no,The football before the office was in the office.
138,yes,no,The milk before the garden was in the kitchen.
139,no,no,The milk before the garden was in the bedroom.
140,yes,no,The football before the bedroom was in the hallway.
141,no,no,The football before the bedroom was in the kitchen.
142,yes,no,The apple before the kitchen was in the garden.
143,no,no,The apple before the kitchen was in the hallway.
144,yes,no,The apple before the garden was in the bedroom.
145,no,no,The apple before the garden was in the office.
146,yes,no,The apple before the garden was in the office.
147,no,no,The apple before the garden was in the hallway.
148,yes,no,The milk before the hallway was in the bathroom.
149,no,no,The milk before the hallway was in the office.
150,yes,no,The football before the bedroom was in the kitchen.
151,no,no,The football before the bedroom was in the garden.
152,yes,no,The football before the bathroom was in the hallway.
153,no,no,The football before the bathroom was in the bathroom.
154,yes,no,The apple before the garden was in the bedroom.
155,no,no,The apple before the garden was in the kitchen.
156,yes,no,The football before the hallway was in the kitchen.
157,no,no,The football before the hallway was in the office.
158,yes,no,The milk before the bathroom was in the garden.
159,no,no,The milk before the bathroom was in the hallway.
160,yes,no,The apple before the garden was in the bathroom.
161,no,no,The apple before the garden was in the bedroom.
162,yes,no,The football before the kitchen was in the hallway.
163,no,no,The football before the kitchen was in the garden.
164,yes,no,The football before the kitchen was in the hallway.
165,no,no,The football before the kitchen was in the office.
166,yes,no,The milk before the bathroom was in the kitchen.
167,no,no,The milk before the bathroom was in the bedroom.
168,yes,no,The milk before the bedroom was in the hallway.
169,no,no,The milk before the bedroom was in the garden.
170,yes,no,The milk before the bedroom was in the bathroom.
171,no,no,The milk before the bedroom was in the office.
172,yes,no,The football before the office was in the bedroom.
173,no,no,The football before the office was in the kitchen.
174,yes,no,The apple before the bedroom was in the hallway.
175,no,no,The apple before the bedroom was in the office.
176,yes,no,The apple before the kitchen was in the garden.
177,no,no,The apple before the kitchen was in the bathroom.
178,yes,no,The apple before the garden was in the bathroom.
179,no,no,The apple before the garden was in the bedroom.
180,yes,no,The football before the bedroom was in the office.
181,no,no,The football before the bedroom was in the kitchen.
182,yes,no,The apple before the bedroom was in the hallway.
183,no,no,The apple before the bedroom was in the garden.
184,yes,no,The milk before the kitchen was in the garden.
185,no,no,The milk before the kitchen was in the office.
186,yes,no,The milk before the bedroom was in the garden.
187,no,no,The milk before the bedroom was in the bathroom.
188,yes,no,The apple before the garden was in the kitchen.
189,no,no,The apple before the garden was in the office.
190,yes,no,The milk before the hallway was in the bedroom.
191,no,no,The milk before the hallway was in the hallway.
192,yes,no,The football before the hallway was in the bathroom.
193,no,no,The football before the hallway was in the hallway.
194,yes,no,The football before the office was in the bedroom.
195,no,no,The football before the office was in the kitchen.
196,yes,no,The football before the garden was in the bathroom.
197,no,no,The football before the garden was in the bedroom.
198,yes,no,The apple before the hallway was in the bedroom.
199,no,no,The apple before the hallway was in the bathroom.
