,target,output,question
0,yes,no,To the east of the bathroom is the bedroom.
1,no,no,To the east of the bathroom is the kitchen.
2,yes,no,To the south of the fice is the kitchen.
3,no,no,To the south of the fice is the bedroom.
4,yes,no,To the north of the fice is the garden.
5,no,no,To the north of the fice is the hallway.
6,yes,no,To the north of the bedroom is the garden.
7,no,no,To the north of the bedroom is the kitchen.
8,yes,no,To the south of the bathroom is the garden.
9,no,no,To the south of the bathroom is the office.
10,yes,no,To the north of the bedroom is the office.
11,no,no,To the north of the bedroom is the bedroom.
12,yes,no,To the north of the garden is the bathroom.
13,no,no,To the north of the garden is the garden.
14,yes,no,To the west of the fice is the bedroom.
15,no,no,To the west of the fice is the hallway.
16,yes,no,To the south of the garden is the kitchen.
17,no,no,To the south of the garden is the garden.
18,yes,no,To the north of the hallway is the bathroom.
19,no,no,To the north of the hallway is the kitchen.
20,yes,no,To the south of the hallway is the bedroom.
21,no,no,To the south of the hallway is the kitchen.
22,yes,no,To the east of the bedroom is the office.
23,no,no,To the east of the bedroom is the bedroom.
24,yes,no,To the north of the garden is the hallway.
25,no,no,To the north of the garden is the kitchen.
26,yes,no,To the west of the garden is the bedroom.
27,no,no,To the west of the garden is the kitchen.
28,yes,no,To the east of the bathroom is the hallway.
29,no,no,To the east of the bathroom is the bathroom.
30,yes,no,To the west of the fice is the bathroom.
31,no,no,To the west of the fice is the office.
32,yes,no,To the west of the bedroom is the bathroom.
33,no,no,To the west of the bedroom is the bedroom.
34,yes,no,To the north of the hallway is the kitchen.
35,no,no,To the north of the hallway is the hallway.
36,yes,no,To the south of the kitchen is the bathroom.
37,no,no,To the south of the kitchen is the office.
38,yes,no,To the south of the bedroom is the office.
39,no,no,To the south of the bedroom is the bathroom.
40,yes,no,To the west of the hallway is the bedroom.
41,no,no,To the west of the hallway is the office.
42,yes,no,To the east of the bedroom is the office.
43,no,no,To the east of the bedroom is the kitchen.
44,yes,no,To the south of the hallway is the bedroom.
45,no,no,To the south of the hallway is the office.
46,yes,no,To the west of the bedroom is the kitchen.
47,no,no,To the west of the bedroom is the office.
48,yes,no,To the south of the bathroom is the bedroom.
49,no,no,To the south of the bathroom is the hallway.
50,yes,no,To the west of the bathroom is the hallway.
51,no,no,To the west of the bathroom is the bedroom.
52,yes,no,To the south of the hallway is the office.
53,no,no,To the south of the hallway is the garden.
54,yes,no,To the east of the fice is the bedroom.
55,no,no,To the east of the fice is the office.
56,yes,no,To the west of the bathroom is the garden.
57,no,no,To the west of the bathroom is the office.
58,yes,no,To the north of the garden is the kitchen.
59,no,no,To the north of the garden is the bathroom.
60,yes,no,To the east of the garden is the office.
61,no,no,To the east of the garden is the bedroom.
62,yes,no,To the south of the hallway is the bathroom.
63,no,no,To the south of the hallway is the garden.
64,yes,no,To the east of the fice is the garden.
65,no,no,To the east of the fice is the office.
66,yes,no,To the south of the hallway is the bedroom.
67,no,no,To the south of the hallway is the bathroom.
68,yes,no,To the east of the hallway is the garden.
69,no,no,To the east of the hallway is the bedroom.
70,yes,no,To the south of the hallway is the kitchen.
71,no,no,To the south of the hallway is the office.
72,yes,no,To the west of the kitchen is the bathroom.
73,no,no,To the west of the kitchen is the bedroom.
74,yes,no,To the west of the bathroom is the kitchen.
75,no,no,To the west of the bathroom is the garden.
76,yes,no,To the south of the garden is the bathroom.
77,no,no,To the south of the garden is the bedroom.
78,yes,no,To the south of the garden is the bedroom.
79,no,no,To the south of the garden is the hallway.
80,yes,no,To the west of the bathroom is the bedroom.
81,no,no,To the west of the bathroom is the garden.
82,yes,no,To the west of the fice is the garden.
83,no,no,To the west of the fice is the kitchen.
84,yes,no,To the west of the hallway is the bathroom.
85,no,no,To the west of the hallway is the hallway.
86,yes,no,To the north of the kitchen is the hallway.
87,no,no,To the north of the kitchen is the bedroom.
88,yes,no,To the north of the hallway is the bathroom.
89,no,no,To the north of the hallway is the hallway.
90,yes,no,To the south of the bedroom is the office.
91,no,no,To the south of the bedroom is the garden.
92,yes,no,To the west of the fice is the kitchen.
93,no,no,To the west of the fice is the hallway.
94,yes,no,To the south of the fice is the bedroom.
95,no,no,To the south of the fice is the garden.
96,yes,no,To the east of the kitchen is the office.
97,no,no,To the east of the kitchen is the bathroom.
98,yes,no,To the south of the bathroom is the hallway.
99,no,no,To the south of the bathroom is the office.
100,yes,no,To the east of the bathroom is the hallway.
101,no,no,To the east of the bathroom is the bathroom.
102,yes,no,To the south of the fice is the bathroom.
103,no,no,To the south of the fice is the garden.
104,yes,no,To the east of the hallway is the office.
105,no,no,To the east of the hallway is the hallway.
106,yes,no,To the south of the bedroom is the kitchen.
107,no,no,To the south of the bedroom is the hallway.
108,yes,no,To the west of the hallway is the kitchen.
109,no,no,To the west of the hallway is the bathroom.
110,yes,no,To the east of the bedroom is the bathroom.
111,no,no,To the east of the bedroom is the office.
112,yes,no,To the south of the kitchen is the bedroom.
113,no,no,To the south of the kitchen is the garden.
114,yes,no,To the west of the kitchen is the office.
115,no,no,To the west of the kitchen is the bathroom.
116,yes,no,To the south of the hallway is the kitchen.
117,no,no,To the south of the hallway is the bathroom.
118,yes,no,To the east of the bedroom is the office.
119,no,no,To the east of the bedroom is the hallway.
120,yes,no,To the east of the kitchen is the bathroom.
121,no,no,To the east of the kitchen is the garden.
122,yes,no,To the south of the bathroom is the kitchen.
123,no,no,To the south of the bathroom is the hallway.
124,yes,no,To the north of the kitchen is the bedroom.
125,no,no,To the north of the kitchen is the hallway.
126,yes,no,To the east of the garden is the kitchen.
127,no,no,To the east of the garden is the bathroom.
128,yes,no,To the south of the hallway is the kitchen.
129,no,no,To the south of the hallway is the office.
130,yes,no,To the east of the garden is the kitchen.
131,no,no,To the east of the garden is the office.
132,yes,no,To the north of the garden is the hallway.
133,no,no,To the north of the garden is the bathroom.
134,yes,no,To the south of the bedroom is the garden.
