,target,output,question
0,yes,no,The football is in the kitchen.
1,no,no,The football is in the bathroom.
2,yes,no,The milk is in the garden.
3,no,no,The milk is in the kitchen.
4,yes,no,The apple is in the bedroom.
5,no,no,The apple is in the kitchen.
6,yes,no,The apple is in the bedroom.
7,no,no,The apple is in the hallway.
8,yes,no,The apple is in the kitchen.
9,no,no,The apple is in the bedroom.
10,yes,no,The apple is in the hallway.
11,no,no,The apple is in the bedroom.
12,yes,no,The milk is in the kitchen.
13,no,no,The milk is in the office.
14,yes,no,The milk is in the garden.
15,no,no,The milk is in the hallway.
16,yes,no,The milk is in the bedroom.
17,no,no,The milk is in the kitchen.
18,yes,no,The milk is in the bathroom.
19,no,no,The milk is in the kitchen.
20,yes,no,The football is in the bathroom.
21,no,no,The football is in the kitchen.
22,yes,no,The milk is in the bedroom.
23,no,no,The milk is in the bathroom.
24,yes,no,The apple is in the bathroom.
25,no,no,The apple is in the kitchen.
26,yes,no,The football is in the kitchen.
27,no,no,The football is in the garden.
28,yes,no,The apple is in the bedroom.
29,no,no,The apple is in the bathroom.
30,yes,no,The apple is in the garden.
31,no,no,The apple is in the bathroom.
32,yes,no,The football is in the bedroom.
33,no,no,The football is in the hallway.
34,yes,no,The apple is in the bedroom.
35,no,no,The apple is in the office.
36,yes,no,The milk is in the garden.
37,no,no,The milk is in the kitchen.
38,yes,no,The milk is in the garden.
39,no,no,The milk is in the bathroom.
40,yes,no,The apple is in the office.
41,no,no,The apple is in the hallway.
42,yes,no,The milk is in the bedroom.
43,no,no,The milk is in the office.
44,yes,no,The milk is in the garden.
45,no,no,The milk is in the bathroom.
46,yes,no,The milk is in the bathroom.
47,no,no,The milk is in the office.
48,yes,no,The apple is in the office.
49,no,no,The apple is in the hallway.
50,yes,no,The football is in the garden.
51,no,no,The football is in the bedroom.
52,yes,no,The football is in the garden.
53,no,no,The football is in the bathroom.
54,yes,no,The apple is in the bedroom.
55,no,no,The apple is in the hallway.
56,yes,no,The apple is in the hallway.
57,no,no,The apple is in the garden.
58,yes,no,The apple is in the hallway.
59,no,no,The apple is in the bedroom.
60,yes,no,The apple is in the hallway.
61,no,no,The apple is in the bathroom.
62,yes,no,The football is in the garden.
63,no,no,The football is in the bathroom.
64,yes,no,The apple is in the hallway.
65,no,no,The apple is in the bedroom.
66,yes,no,The football is in the kitchen.
67,no,no,The football is in the hallway.
68,yes,no,The milk is in the hallway.
69,no,no,The milk is in the kitchen.
70,yes,no,The apple is in the kitchen.
71,no,no,The apple is in the office.
72,yes,no,The milk is in the office.
73,no,no,The milk is in the bathroom.
74,yes,no,The milk is in the hallway.
75,no,no,The milk is in the kitchen.
76,yes,no,The milk is in the bathroom.
77,no,no,The milk is in the office.
78,yes,no,The milk is in the bathroom.
79,no,no,The milk is in the kitchen.
80,yes,no,The football is in the bathroom.
81,no,no,The football is in the hallway.
82,yes,no,The football is in the hallway.
83,no,no,The football is in the bedroom.
84,yes,no,The apple is in the garden.
85,no,no,The apple is in the kitchen.
86,yes,no,The apple is in the bedroom.
87,no,no,The apple is in the office.
88,yes,no,The milk is in the kitchen.
89,no,no,The milk is in the garden.
90,yes,no,The milk is in the bedroom.
91,no,no,The milk is in the garden.
92,yes,no,The apple is in the hallway.
93,no,no,The apple is in the bathroom.
94,yes,no,The milk is in the garden.
95,no,no,The milk is in the office.
96,yes,no,The football is in the kitchen.
97,no,no,The football is in the bathroom.
98,yes,no,The football is in the bathroom.
99,no,no,The football is in the garden.
100,yes,no,The milk is in the garden.
101,no,no,The milk is in the hallway.
102,yes,no,The apple is in the bedroom.
103,no,no,The apple is in the kitchen.
104,yes,no,The milk is in the hallway.
105,no,no,The milk is in the kitchen.
106,yes,no,The milk is in the hallway.
107,no,no,The milk is in the office.
108,yes,no,The milk is in the office.
109,no,no,The milk is in the bedroom.
110,yes,no,The apple is in the kitchen.
111,no,no,The apple is in the garden.
112,yes,no,The milk is in the bathroom.
113,no,no,The milk is in the bedroom.
