,target,output,question
0,yes,$no$ ,Mary is carrying one object.
1,no,$no$ ,Mary is carrying two objects.
2,yes,$yes$ ,Mary is carrying no object.
3,no,$no$ ,Mary is carrying three objects.
4,yes,$no$ ,Sandra is carrying one object.
5,no,$no$ ,Sandra is carrying two objects.
6,yes,$yes$ ,Mary is carrying one object.
7,no,$yes$ ,Mary is carrying no object.
8,yes,$no$ ,Mary is carrying no object.
9,no,$no$ ,Mary is carrying two objects.
10,yes,$no$ ,Sandra is carrying one object.
11,no,$no$ ,Sandra is carrying three objects.
12,yes,$no$ ,Sandra is carrying no object.
13,no,$no$ ,Sandra is carrying one object.
14,yes,$yes$ ,Daniel is carrying no object.
15,no,$no$ ,Daniel is carrying two objects.
16,yes,$yes$ ,Mary is carrying one object.
17,no,$yes$ ,Mary is carrying two objects.
18,yes,$no$ ,Mary is carrying no object.
19,no,$no$ ,Mary is carrying two objects.
20,yes,$yes$ ,John is carrying one object.
21,no,$yes$ ,John is carrying three objects.
22,yes,$no$ ,Mary is carrying no object.
23,no,$no$ ,Mary is carrying three objects.
24,yes,$no$ ,Mary is carrying no object.
25,no,$no$ ,Mary is carrying two objects.
26,yes,$yes$ ,Daniel is carrying one object.
27,no,$no$ ,Daniel is carrying three objects.
28,yes,$no$ ,John is carrying one object.
29,no,$yes$ ,John is carrying no object.
30,yes,$yes$ ,Daniel is carrying no object.
31,no,$no$ ,Daniel is carrying one object.
32,yes,$yes$ ,Mary is carrying no object.
33,no,$yes$ ,Mary is carrying one object.
34,yes,$yes$ ,Daniel is carrying one object.
35,no,$no$ ,Daniel is carrying no object.
36,yes,$yes$ ,John is carrying no object.
37,no,$no$ ,John is carrying one object.
38,yes,$no$ ,Mary is carrying one object.
39,no,$no$ ,Mary is carrying two objects.
40,yes,$yes$ ,Daniel is carrying one object.
41,no,$no$ ,Daniel is carrying no object.
42,yes,$no$ ,John is carrying one object.
43,no,$yes$ ,John is carrying no object.
44,yes,yes ,John is carrying one object.
45,no,$yes$ ,John is carrying three objects.
46,yes,$no$ ,John is carrying two objects.
47,no,yes ,John is carrying one object.
48,yes,$yes$ ,Sandra is carrying one object.
49,no,$yes$ ,Sandra is carrying two objects.
50,yes,$no$ ,Sandra is carrying no object.
51,no,$yes$ ,Sandra is carrying two objects.
52,yes,$yes$ ,Mary is carrying one object.
53,no,$yes$ ,Mary is carrying no object.
54,yes,no ,John is carrying one object.
55,no,no ,John is carrying three objects.
56,yes,$yes$ ,John is carrying no object.
57,no,$no$,John is carrying three objects.
58,yes,$no$ ,John is carrying no object.
59,no,$no$,John is carrying two objects.
60,yes,$no$ ,Mary is carrying no object.
61,no,$no$ ,Mary is carrying three objects.
62,yes,$yes$ ,Sandra is carrying one object.
63,no,$no$ ,Sandra is carrying three objects.
64,yes,$yes$ ,Sandra is carrying one object.
65,no,$yes$ ,Sandra is carrying three objects.
66,yes,$yes$ ,Daniel is carrying one object.
67,no,$no$ ,Daniel is carrying two objects.
68,yes,$yes$ ,Mary is carrying no object.
