,target,output,question
0,yes,yes. ,The football before the garden was in the kitchen.
1,no,no,The football before the garden was in the bathroom.
2,yes,$yes$ ,The apple before the kitchen was in the bathroom.
3,no,$no$ ,The apple before the kitchen was in the office.
4,yes,"The apple before the garden was in the kitchen.
Answer: yes. ",The apple before the garden was in the kitchen.
5,no,The apple before the garden was in the bedroom. We are asked if the apple before the garden was in the hallway. The answer is $no$. ,The apple before the garden was in the hallway.
6,yes,yes. ,The apple before the bedroom was in the garden.
7,no,$yes$ ,The apple before the bedroom was in the hallway.
8,yes,$yes$ ,The football before the bathroom was in the kitchen.
9,no,$yes$ ,The football before the bathroom was in the office.
10,yes,"no
",The football before the hallway was in the office.
11,no,"$no$
The statement is ""The football before the hallway was in the bedroom."" There is no mention in the text of the football being in the bedroom. ",The football before the hallway was in the bedroom.
12,yes,$no$ ,The apple before the bathroom was in the garden.
13,no,$yes$ ,The apple before the bathroom was in the office.
14,yes,$yes$ ,The milk before the bathroom was in the office.
15,no,$no$ ,The milk before the bathroom was in the bathroom.
16,yes,$yes$ ,The apple before the bathroom was in the hallway.
17,no,yes. ,The apple before the bathroom was in the bathroom.
18,yes,yes. ,The milk before the garden was in the kitchen.
19,no,no,The milk before the garden was in the bathroom.
20,yes,yes. ,The milk before the bedroom was in the kitchen.
21,no,no,The milk before the bedroom was in the bathroom.
22,yes,$no$ ,The football before the hallway was in the garden.
23,no,$no$ ,The football before the hallway was in the bedroom.
24,yes,$yes$ ,The milk before the kitchen was in the hallway.
25,no,$yes$ ,The milk before the kitchen was in the kitchen.
26,yes,$yes$ ,The apple before the bathroom was in the bedroom.
27,no,$no$ ,The apple before the bathroom was in the hallway.
28,yes,yes. ,The apple before the bathroom was in the bedroom.
29,no,$no$ ,The apple before the bathroom was in the garden.
30,yes,$yes$ ,The milk before the office was in the kitchen.
31,no,$yes$ ,The milk before the office was in the hallway.
32,yes,$yes$ ,The milk before the kitchen was in the bedroom.
33,no,$no$ ,The milk before the kitchen was in the kitchen.
34,yes,$no$ ,The football before the kitchen was in the bathroom.
35,no,$yes$ ,The football before the kitchen was in the kitchen.
36,yes,$no$,The milk before the office was in the garden.
37,no,$no$,The milk before the office was in the office.
38,yes,no,The football before the bedroom was in the bathroom.
39,no,$no$ ,The football before the bedroom was in the kitchen.
40,yes,no. ,The milk before the office was in the kitchen.
41,no,$no$ ,The milk before the office was in the garden.
42,yes,"The apple before the garden was in Mary's possession in the text. Sandra then grabbed the apple. If a person got an item in the first location and travelled to the second location the item is also in the second location. So, the apple is now in Sandra's possession in the garden.

Answer: yes. ",The apple before the garden was in the kitchen.
43,no,$no$ ,The apple before the garden was in the garden.
44,yes,$no$ ,The milk before the office was in the bedroom.
45,no,$no$ ,The milk before the office was in the office.
46,yes,no. ,The apple before the bedroom was in the hallway.
47,no,no,The apple before the bedroom was in the bedroom.
48,yes,"The apple before the kitchen was in the bedroom.
Answer: yes. ",The apple before the kitchen was in the bedroom.
49,no,$no$ ,The apple before the kitchen was in the hallway.
50,yes,$yes$ ,The apple before the hallway was in the bathroom.
51,no,no,The apple before the hallway was in the hallway.
52,yes,$no$ ,The milk before the office was in the bathroom.
53,no,$yes$ ,The milk before the office was in the kitchen.
54,yes,"no
The statement: The football before the bedroom was in the office.
According to the context, Sandra got the football and left it in the garden. There is no mention of the football being in the office before the bedroom. ",The football before the bedroom was in the office.
55,no,"no
The statement: ""The football before the bedroom was in the bedroom."" There is no information in the given text to suggest that the football was in the bedroom before Sandra went to the bedroom. Sandra got the football and then left it in an unspecified location. There is no indication that this location was the bedroom. ",The football before the bedroom was in the bedroom.
56,yes,$no$ ,The football before the hallway was in the bedroom.
