,target,output,question
0,yes,$no$ ,The football is in the kitchen.
1,no,$no$ ,The football is in the office.
2,yes,$no$ ,The milk is in the garden.
3,no,$no$ ,The milk is in the kitchen.
4,yes,$yes$ ,The apple is in the bedroom.
5,no,$yes$ ,The apple is in the hallway.
6,yes,$yes$ ,The apple is in the bedroom.
7,no,$yes$ ,The apple is in the bathroom.
8,yes,$no$ ,The apple is in the kitchen.
9,no,$no$ ,The apple is in the office.
10,yes,$yes$ ,The apple is in the hallway.
11,no,$yes$ ,The apple is in the bathroom.
12,yes,$yes$ ,The milk is in the kitchen.
13,no,$yes$ ,The milk is in the bedroom.
14,yes,$yes$ ,The milk is in the garden.
15,no,$yes$ ,The milk is in the kitchen.
16,yes,$no$ ,The milk is in the bedroom.
17,no,$no$,The milk is in the bathroom.
18,yes,$no$ ,The milk is in the bathroom.
19,no,$no$,The milk is in the garden.
20,yes,$yes$ ,The football is in the bathroom.
21,no,$no$ ,The football is in the kitchen.
22,yes,$no$,The milk is in the bedroom.
23,no,$no$ ,The milk is in the office.
24,yes,$no$ ,The apple is in the bathroom.
25,no,$no$ ,The apple is in the hallway.
26,yes,$no$ ,The football is in the kitchen.
27,no,$no$ ,The football is in the bedroom.
28,yes,$no$ ,The apple is in the bedroom.
29,no,$no$ ,The apple is in the bathroom.
30,yes,$yes$ ,The apple is in the garden.
31,no,$yes$ ,The apple is in the hallway.
32,yes,$no$ ,The football is in the bedroom.
33,no,$no$ ,The football is in the bathroom.
34,yes,$yes$ ,The apple is in the bedroom.
35,no,$no$ ,The apple is in the garden.
36,yes,$yes$ ,The milk is in the garden.
37,no,$no$,The milk is in the bathroom.
38,yes,$no$ ,The milk is in the garden.
39,no,$no$ ,The milk is in the office.
40,yes,$no$ ,The apple is in the office.
41,no,$no$,The apple is in the kitchen.
42,yes,$no$ ,The milk is in the bedroom.
43,no,$no$ ,The milk is in the kitchen.
44,yes,$yes$ ,The milk is in the garden.
45,no,$no$ ,The milk is in the bedroom.
46,yes,$no$ ,The milk is in the bathroom.
47,no,$no$ ,The milk is in the kitchen.
48,yes,$no$ ,The apple is in the office.
49,no,$no$ ,The apple is in the kitchen.
50,yes,$yes$ ,The football is in the garden.
