,target,output,question
0,yes,$yes$ ,The football is in the kitchen.
1,no,$no$ ,The football is in the bedroom.
2,yes,$yes$ ,The milk is in the garden.
3,no,$no$ ,The milk is in the hallway.
4,yes,$no$ ,The apple is in the bedroom.
5,no,$no$ ,The apple is in the bathroom.
6,yes,$no$ ,The apple is in the bedroom.
7,no,$no$ ,The apple is in the garden.
8,yes,$no$ ,The apple is in the kitchen.
9,no,$no$ ,The apple is in the office.
10,yes,$yes$ ,The apple is in the hallway.
11,no,$no$ ,The apple is in the bathroom.
12,yes,$yes$ ,The milk is in the kitchen.
13,no,$no$ ,The milk is in the bedroom.
14,yes,$yes$ ,The milk is in the garden.
15,no,$no$ ,The milk is in the hallway.
16,yes,$no$ ,The milk is in the bedroom.
17,no,$no$ ,The milk is in the office.
18,yes,$no$ ,The milk is in the bathroom.
19,no,$no$ ,The milk is in the bedroom.
20,yes,$no$ ,The football is in the bathroom.
21,no,$no$ ,The football is in the bedroom.
22,yes,$no$ ,The milk is in the bedroom.
23,no,$no$ ,The milk is in the kitchen.
24,yes,$no$ ,The apple is in the bathroom.
25,no,$no$ ,The apple is in the garden.
26,yes,$no$ ,The football is in the kitchen.
27,no,$no$ ,The football is in the bathroom.
28,yes,$no$ ,The apple is in the bedroom.
29,no,$no$ ,The apple is in the office.
30,yes,$no$ ,The apple is in the garden.
31,no,$no$ ,The apple is in the hallway.
32,yes,$no$ ,The football is in the bedroom.
33,no,$no$ ,The football is in the hallway.
34,yes,$no$ ,The apple is in the bedroom.
35,no,$no$ ,The apple is in the office.
36,yes,$yes$ ,The milk is in the garden.
37,no,$no$ ,The milk is in the hallway.
38,yes,$yes$ ,The milk is in the garden.
39,no,$no$ ,The milk is in the hallway.
40,yes,$no$ ,The apple is in the office.
41,no,$no$ ,The apple is in the kitchen.
42,yes,$no$ ,The milk is in the bedroom.
43,no,$no$ ,The milk is in the garden.
44,yes,$yes$ ,The milk is in the garden.
45,no,$no$ ,The milk is in the office.
46,yes,$no$ ,The milk is in the bathroom.
47,no,$no$ ,The milk is in the hallway.
48,yes,$no$ ,The apple is in the office.
49,no,$yes$ ,The apple is in the bedroom.
50,yes,$yes$ ,The football is in the garden.
51,no,$no$ ,The football is in the hallway.
52,yes,$yes$ ,The football is in the garden.
53,no,$no$ ,The football is in the kitchen.
54,yes,$no$ ,The apple is in the bedroom.
55,no,$no$ ,The apple is in the office.
56,yes,$no$ ,The apple is in the hallway.
57,no,$no$ ,The apple is in the office.
58,yes,$no$ ,The apple is in the hallway.
59,no,$no$ ,The apple is in the kitchen.
60,yes,$no$ ,The apple is in the hallway.
61,no,$no$ ,The apple is in the garden.
62,yes,$yes$ ,The football is in the garden.
63,no,$no$ ,The football is in the kitchen.
64,yes,$no$ ,The apple is in the hallway.
65,no,$no$ ,The apple is in the office.
66,yes,$no$ ,The football is in the kitchen.
67,no,$yes$ ,The football is in the hallway.
68,yes,$no$ ,The milk is in the hallway.
69,no,$no$ ,The milk is in the garden.
70,yes,$no$ ,The apple is in the kitchen.
71,no,$no$ ,The apple is in the bedroom.
72,yes,$yes$ ,The milk is in the office.
73,no,$no$ ,The milk is in the bedroom.
74,yes,$no$ ,The milk is in the hallway.
75,no,$no$ ,The milk is in the office.
76,yes,$yes$ ,The milk is in the bathroom.
77,no,$no$ ,The milk is in the kitchen.
78,yes,$yes$ ,The milk is in the bathroom.
79,no,$no$ ,The milk is in the garden.
80,yes,$no$ ,The football is in the bathroom.
81,no,$no$ ,The football is in the bedroom.
82,yes,$no$ ,The football is in the hallway.
83,no,$no$ ,The football is in the bathroom.
84,yes,$no$ ,The apple is in the garden.
85,no,$no$ ,The apple is in the bedroom.
86,yes,$yes$ ,The apple is in the bedroom.
87,no,$no$ ,The apple is in the bathroom.
88,yes,$yes$ ,The milk is in the kitchen.
89,no,$no$ ,The milk is in the hallway.
90,yes,$no$ ,The milk is in the bedroom.
91,no,$no$ ,The milk is in the garden.
92,yes,$no$ ,The apple is in the hallway.
