,target,output,question
0,yes,$no$ ,The football is in the kitchen.
1,no,$no$ ,The football is in the hallway.
2,yes,$no$ ,The milk is in the garden.
3,no,$no$,The milk is in the bathroom.
4,yes,$yes$ ,The apple is in the bedroom.
5,no,$yes$ ,The apple is in the garden.
6,yes,$no$ ,The apple is in the bedroom.
7,no,$no$ ,The apple is in the office.
8,yes,$no$ ,The apple is in the kitchen.
9,no,$no$ ,The apple is in the bedroom.
10,yes,$yes$ ,The apple is in the hallway.
11,no,$no$ ,The apple is in the bedroom.
12,yes,$yes$ ,The milk is in the kitchen.
13,no,$yes$ ,The milk is in the bathroom.
14,yes,$yes$ ,The milk is in the garden.
15,no,$no$ ,The milk is in the bedroom.
16,yes,$no$ ,The milk is in the bedroom.
17,no,$no$ ,The milk is in the garden.
18,yes,$no$,The milk is in the bathroom.
19,no,$no$ ,The milk is in the kitchen.
20,yes,$no$ ,The football is in the bathroom.
21,no,$yes$ ,The football is in the garden.
22,yes,$no$ ,The milk is in the bedroom.
23,no,$no$,The milk is in the bathroom.
24,yes,$no$ ,The apple is in the bathroom.
25,no,$no$ ,The apple is in the bedroom.
26,yes,$no$ ,The football is in the kitchen.
27,no,$no$ ,The football is in the hallway.
28,yes,$no$ ,The apple is in the bedroom.
29,no,$no$ ,The apple is in the bathroom.
30,yes,$no$ ,The apple is in the garden.
31,no,$no$ ,The apple is in the bedroom.
32,yes,$no$ ,The football is in the bedroom.
33,no,$no$ ,The football is in the bathroom.
34,yes,$yes$ ,The apple is in the bedroom.
35,no,$yes$ ,The apple is in the office.
36,yes,$no$ ,The milk is in the garden.
37,no,$no$ ,The milk is in the kitchen.
38,yes,$no$ ,The milk is in the garden.
39,no,$no$ ,The milk is in the bedroom.
40,yes,$no$ ,The apple is in the office.
41,no,$no$ ,The apple is in the garden.
42,yes,$no$ ,The milk is in the bedroom.
43,no,$no$ ,The milk is in the kitchen.
44,yes,$no$ ,The milk is in the garden.
45,no,$no$ ,The milk is in the hallway.
46,yes,$no$ ,The milk is in the bathroom.
47,no,$no$ ,The milk is in the office.
48,yes,$no$ ,The apple is in the office.
49,no,$yes$ ,The apple is in the bedroom.
50,yes,$no$ ,The football is in the garden.
51,no,$no$ ,The football is in the bathroom.
52,yes,$no$ ,The football is in the garden.
53,no,$no$ ,The football is in the hallway.
54,yes,$no$ ,The apple is in the bedroom.
55,no,$no$ ,The apple is in the hallway.
56,yes,$no$ ,The apple is in the hallway.
57,no,$no$ ,The apple is in the garden.
58,yes,$no$ ,The apple is in the hallway.
59,no,$no$ ,The apple is in the bathroom.
60,yes,$no$ ,The apple is in the hallway.
61,no,$no$ ,The apple is in the office.
62,yes,$yes$ ,The football is in the garden.
63,no,$no$ ,The football is in the bedroom.
64,yes,$no$ ,The apple is in the hallway.
65,no,$no$ ,The apple is in the kitchen.
66,yes,$no$ ,The football is in the kitchen.
67,no,$no$ ,The football is in the bathroom.
68,yes,$yes$ ,The milk is in the hallway.
69,no,$no$ ,The milk is in the office.
70,yes,$no$ ,The apple is in the kitchen.
71,no,$no$ ,The apple is in the garden.
72,yes,$no$ ,The milk is in the office.
73,no,$no$ ,The milk is in the bathroom.
74,yes,$no$ ,The milk is in the hallway.
75,no,$no$ ,The milk is in the kitchen.
76,yes,$no$ ,The milk is in the bathroom.
77,no,$no$ ,The milk is in the kitchen.
78,yes,$no$ ,The milk is in the bathroom.
79,no,$no$ ,The milk is in the garden.
80,yes,$no$ ,The football is in the bathroom.
81,no,$no$ ,The football is in the bedroom.
82,yes,$no$ ,The football is in the hallway.
83,no,$no$ ,The football is in the bathroom.
84,yes,$no$ ,The apple is in the garden.
85,no,$no$ ,The apple is in the hallway.
86,yes,$no$ ,The apple is in the bedroom.
87,no,$no$ ,The apple is in the office.
88,yes,$no$ ,The milk is in the kitchen.
89,no,$no$ ,The milk is in the bedroom.
90,yes,$no$ ,The milk is in the bedroom.
91,no,$no$ ,The milk is in the garden.
92,yes,$no$ ,The apple is in the hallway.
93,no,$no$ ,The apple is in the office.
94,yes,$no$ ,The milk is in the garden.
95,no,$no$ ,The milk is in the kitchen.
96,yes,$no$ ,The football is in the kitchen.
97,no,$no$ ,The football is in the hallway.
98,yes,$no$ ,The football is in the bathroom.
99,no,$yes$ ,The football is in the garden.
100,yes,$no$ ,The milk is in the garden.
101,no,$no$ ,The milk is in the bedroom.
102,yes,$no$ ,The apple is in the bedroom.
103,no,$no$ ,The apple is in the garden.
104,yes,$no$ ,The milk is in the hallway.
105,no,$no$ ,The milk is in the bedroom.
106,yes,$no$ ,The milk is in the hallway.
107,no,$no$ ,The milk is in the kitchen.
108,yes,$no$ ,The milk is in the office.
109,no,$no$,The milk is in the bathroom.
110,yes,$no$ ,The apple is in the kitchen.
111,no,no ,The apple is in the bedroom.
112,yes,$no$ ,The milk is in the bathroom.
113,no,$no$ ,The milk is in the office.
114,yes,$no$ ,The milk is in the bathroom.
115,no,$no$ ,The milk is in the bedroom.
116,yes,$yes$ ,The football is in the office.
117,no,$no$,The football is in the bathroom.
118,yes,yes ,The football is in the garden.
119,no,$yes$ ,The football is in the kitchen.
120,yes,$no$ ,The apple is in the kitchen.
121,no,$no$ ,The apple is in the bathroom.
122,yes,$no$ ,The apple is in the bathroom.
123,no,$no$ ,The apple is in the bedroom.
124,yes,$no$ ,The football is in the garden.
125,no,$no$ ,The football is in the hallway.
126,yes,$no$,The milk is in the bathroom.
127,no,$no$ ,The milk is in the kitchen.
128,yes,$no$ ,The milk is in the bathroom.
129,no,$no$ ,The milk is in the office.
130,yes,$no$ ,The milk is in the hallway.
131,no,$no$ ,The milk is in the bathroom.
132,yes,$no$ ,The football is in the bedroom.
133,no,$no$,The football is in the office.
134,yes,$yes$ ,The football is in the garden.
135,no,$no$ ,The football is in the bedroom.
136,yes,$no$ ,The football is in the bedroom.
137,no,$no$ ,The football is in the kitchen.
138,yes,$no$ ,The apple is in the bathroom.
139,no,$no$ ,The apple is in the kitchen.
140,yes,$no$ ,The milk is in the garden.
141,no,$no$ ,The milk is in the office.
142,yes,$no$ ,The milk is in the office.
143,no,$no$ ,The milk is in the hallway.
144,yes,$no$ ,The football is in the office.
145,no,$no$ ,The football is in the hallway.
146,yes,$no$ ,The football is in the hallway.
147,no,$no$ ,The football is in the office.
148,yes,$no$ ,The football is in the garden.
149,no,$no$ ,The football is in the bathroom.
150,yes,$no$ ,The milk is in the office.
151,no,$no$ ,The milk is in the garden.
152,yes,$no$ ,The football is in the kitchen.
153,no,$no$ ,The football is in the garden.
154,yes,$no$ ,The milk is in the office.
155,no,$no$ ,The milk is in the hallway.
156,yes,$no$ ,The apple is in the kitchen.
157,no,$no$ ,The apple is in the garden.
158,yes,$no$ ,The football is in the kitchen.
159,no,$no$ ,The football is in the bedroom.
160,yes,$no$ ,The football is in the office.
161,no,$no$ ,The football is in the kitchen.
162,yes,$no$ ,The apple is in the kitchen.
163,no,$no$ ,The apple is in the hallway.
164,yes,$yes$ ,The apple is in the office.
165,no,$yes$ ,The apple is in the hallway.
166,yes,$no$ ,The football is in the bathroom.
167,no,$no$ ,The football is in the hallway.
168,yes,$no$ ,The football is in the bathroom.
169,no,$no$,The football is in the kitchen.
170,yes,$no$,The milk is in the office.
171,no,$no$ ,The milk is in the hallway.
172,yes,$no$ ,The apple is in the bathroom.
173,no,$no$ ,The apple is in the hallway.
174,yes,$no$ ,The milk is in the bedroom.
175,no,$no$ ,The milk is in the garden.
176,yes,$no$ ,The apple is in the hallway.
177,no,$no$ ,The apple is in the bathroom.
178,yes,$no$ ,The milk is in the bedroom.
179,no,$no$ ,The milk is in the garden.
180,yes,$no$ ,The apple is in the bedroom.
181,no,$no$ ,The apple is in the kitchen.
182,yes,$no$ ,The football is in the bathroom.
183,no,$no$ ,The football is in the kitchen.
184,yes,$no$ ,The football is in the bedroom.
185,no,$no$ ,The football is in the kitchen.
186,yes,$no$ ,The football is in the bedroom.
187,no,$no$ ,The football is in the garden.
188,yes,$no$,The apple is in the bedroom.
189,no,$no$ ,The apple is in the garden.
190,yes,$no$ ,The football is in the kitchen.
191,no,$yes$ ,The football is in the garden.
192,yes,$no$ ,The milk is in the garden.
193,no,$no$ ,The milk is in the bathroom.
194,yes,$yes$ ,The milk is in the office.
195,no,$no$ ,The milk is in the bedroom.
196,yes,$no$ ,The milk is in the bedroom.
197,no,$no$ ,The milk is in the office.
198,yes,$no$ ,The apple is in the kitchen.
199,no,$no$ ,The apple is in the office.
