,target,output,question
0,yes,$yes$ ,Mary is carrying one object.
1,no,$no$ ,Mary is carrying three objects.
2,yes,$no$ ,Mary is carrying no object.
3,no,$no$ ,Mary is carrying three objects.
4,yes,$no$ ,Sandra is carrying one object.
5,no,$yes$ ,Sandra is carrying two objects.
6,yes,$yes$ ,Mary is carrying one object.
7,no,no ,Mary is carrying no object.
8,yes,no ,Mary is carrying no object.
9,no,no ,Mary is carrying two objects.
10,yes,$no$ ,Sandra is carrying one object.
11,no,$no$ ,Sandra is carrying no object.
12,yes,$no$ ,Sandra is carrying no object.
13,no,$no$ ,Sandra is carrying one object.
14,yes,$no$ ,Daniel is carrying no object.
15,no,$no$ ,Daniel is carrying two objects.
16,yes,$yes$ ,Mary is carrying one object.
17,no,$no$ ,Mary is carrying no object.
18,yes,no ,Mary is carrying no object.
19,no,$no$ ,Mary is carrying two objects.
20,yes,yes ,John is carrying one object.
21,no,no ,John is carrying three objects.
22,yes,no ,Mary is carrying no object.
23,no,$no$ ,Mary is carrying one object.
24,yes,$no$ ,Mary is carrying no object.
25,no,no ,Mary is carrying one object.
26,yes,$no$ ,Daniel is carrying one object.
27,no,$no$ ,Daniel is carrying no object.
28,yes,$yes$ ,John is carrying one object.
29,no,$no$ ,John is carrying three objects.
30,yes,$no$ ,Daniel is carrying no object.
31,no,$no$ ,Daniel is carrying three objects.
32,yes,no ,Mary is carrying no object.
33,no,$no$ ,Mary is carrying two objects.
34,yes,$yes$ ,Daniel is carrying one object.
35,no,$no$ ,Daniel is carrying no object.
36,yes,$no$ ,John is carrying no object.
37,no,$no$ ,John is carrying one object.
38,yes,yes ,Mary is carrying one object.
39,no,$no$ ,Mary is carrying three objects.
40,yes,$yes$ ,Daniel is carrying one object.
41,no,$no$ ,Daniel is carrying two objects.
42,yes,yes ,John is carrying one object.
43,no,no ,John is carrying no object.
44,yes,yes ,John is carrying one object.
45,no,$yes$ ,John is carrying two objects.
46,yes,$yes$ ,John is carrying two objects.
47,no,no ,John is carrying no object.
48,yes,$no$ ,Sandra is carrying one object.
49,no,$no$ ,Sandra is carrying three objects.
50,yes,$no$ ,Sandra is carrying no object.
51,no,$no$ ,Sandra is carrying three objects.
52,yes,$yes$ ,Mary is carrying one object.
53,no,$no$ ,Mary is carrying two objects.
54,yes,$yes$ ,John is carrying one object.
55,no,$no$ ,John is carrying three objects.
56,yes,no ,John is carrying no object.
57,no,$no$ ,John is carrying two objects.
58,yes,$no$ ,John is carrying no object.
59,no,$no$ ,John is carrying three objects.
60,yes,$no$ ,Mary is carrying no object.
61,no,$no$ ,Mary is carrying two objects.
62,yes,$yes$ ,Sandra is carrying one object.
63,no,no ,Sandra is carrying no object.
64,yes,$no$ ,Sandra is carrying one object.
65,no,$no$ ,Sandra is carrying three objects.
66,yes,$yes$ ,Daniel is carrying one object.
67,no,$yes$ ,Daniel is carrying no object.
68,yes,$no$ ,Mary is carrying no object.
69,no,$no$ ,Mary is carrying two objects.
70,yes,yes ,Mary is carrying one object.
71,no,$no$ ,Mary is carrying three objects.
72,yes,$no$ ,Sandra is carrying one object.
73,no,$yes$ ,Sandra is carrying two objects.
74,yes,no ,Mary is carrying no object.
75,no,$no$ ,Mary is carrying one object.
76,yes,$no$ ,Sandra is carrying one object.
77,no,$no$ ,Sandra is carrying no object.
78,yes,$no$ ,Mary is carrying one object.
79,no,no ,Mary is carrying no object.
80,yes,$no$ ,Sandra is carrying no object.
81,no,$no$ ,Sandra is carrying one object.
82,yes,$no$ ,Mary is carrying no object.
83,no,$no$ ,Mary is carrying one object.
84,yes,$no$ ,Sandra is carrying one object.
85,no,$yes$ ,Sandra is carrying two objects.
86,yes,yes ,Daniel is carrying one object.
87,no,$yes$ ,Daniel is carrying two objects.
88,yes,$yes$ ,Sandra is carrying one object.
89,no,$yes$ ,Sandra is carrying three objects.
90,yes,$yes$ ,Sandra is carrying one object.
91,no,$no$ ,Sandra is carrying three objects.
92,yes,$no$ ,Sandra is carrying no object.
93,no,$no$ ,Sandra is carrying two objects.
94,yes,$yes$ ,John is carrying two objects.
95,no,$no$ ,John is carrying no object.
96,yes,$yes$ ,Mary is carrying one object.
97,no,$no$ ,Mary is carrying three objects.
98,yes,$no$ ,Mary is carrying no object.
99,no,$no$ ,Mary is carrying two objects.
100,yes,$no$ ,Sandra is carrying one object.
101,no,$yes$ ,Sandra is carrying two objects.
102,yes,$no$ ,Sandra is carrying no object.
103,no,$no$ ,Sandra is carrying one object.
