,target,output,question
0,yes,$no$,Mary is carrying one object.
1,no,$no$,Mary is carrying three objects.
2,yes,$no$,Mary is carrying no object.
3,no,$no$,Mary is carrying two objects.
4,yes,$no$,Sandra is carrying one object.
5,no,$no$,Sandra is carrying three objects.
6,yes,$no$,Mary is carrying one object.
7,no,$no$,Mary is carrying two objects.
8,yes,$no$,Mary is carrying no object.
9,no,$no$,Mary is carrying three objects.
10,yes,$yes$,Sandra is carrying one object.
11,no,$yes$,Sandra is carrying two objects.
12,yes,$no$,Sandra is carrying no object.
13,no,$yes$,Sandra is carrying three objects.
14,yes,$yes$,Daniel is carrying no object.
15,no,$yes$,Daniel is carrying one object.
16,yes,$no$,Mary is carrying one object.
17,no,$no$,Mary is carrying two objects.
18,yes,$yes$,Mary is carrying no object.
19,no,$yes$,Mary is carrying three objects.
20,yes,$no$,John is carrying one object.
21,no,$no$,John is carrying two objects.
22,yes,$no$,Mary is carrying no object.
23,no,$no$,Mary is carrying two objects.
24,yes,$no$,Mary is carrying no object.
25,no,$no$,Mary is carrying one object.
26,yes,$yes$,Daniel is carrying one object.
27,no,$yes$,Daniel is carrying three objects.
28,yes,$no$,John is carrying one object.
29,no,$no$,John is carrying three objects.
30,yes,$yes$,Daniel is carrying no object.
31,no,$yes$,Daniel is carrying two objects.
32,yes,$yes$,Mary is carrying no object.
33,no,$yes$,Mary is carrying three objects.
34,yes,$yes$,Daniel is carrying one object.
35,no,$yes$,Daniel is carrying no object.
36,yes,$no$,John is carrying no object.
37,no,$no$,John is carrying three objects.
38,yes,$yes$,Mary is carrying one object.
39,no,$yes$,Mary is carrying no object.
40,yes,$yes$,Daniel is carrying one object.
41,no,$no$,Daniel is carrying two objects.
42,yes,$yes$,John is carrying one object.
43,no,$yes$,John is carrying three objects.
44,yes,$yes$,John is carrying one object.
45,no,$yes$,John is carrying two objects.
46,yes,$no$,John is carrying two objects.
47,no,$no$,John is carrying no object.
48,yes,$no$,Sandra is carrying one object.
49,no,$no$,Sandra is carrying no object.
50,yes,$yes$,Sandra is carrying no object.
51,no,$yes$,Sandra is carrying two objects.
52,yes,$no$,Mary is carrying one object.
53,no,$no$,Mary is carrying no object.
54,yes,$no$,John is carrying one object.
55,no,$no$,John is carrying two objects.
56,yes,$no$,John is carrying no object.
57,no,$no$,John is carrying two objects.
58,yes,$no$,John is carrying no object.
59,no,$yes$,John is carrying one object.
60,yes,$no$,Mary is carrying no object.
61,no,$no$,Mary is carrying two objects.
62,yes,$no$,Sandra is carrying one object.
63,no,$no$,Sandra is carrying three objects.
64,yes,$no$,Sandra is carrying one object.
65,no,$no$,Sandra is carrying no object.
