,target,output,question
0,yes,$yes$,To the east of the bathroom is the bedroom.
1,no,$yes$,To the east of the bathroom is the bathroom.
2,yes,$yes$,To the south of the fice is the kitchen.
3,no,$yes$,To the south of the fice is the office.
4,yes,$yes$,To the north of the fice is the garden.
5,no,$yes$,To the north of the fice is the bedroom.
6,yes,$yes$,To the north of the bedroom is the garden.
7,no,$yes$,To the north of the bedroom is the hallway.
8,yes,The kitchen is south of the bathroom.,To the south of the bathroom is the garden.
9,no,The kitchen is south of the bathroom.,To the south of the bathroom is the hallway.
10,yes,yes,To the north of the bedroom is the office.
11,no,yes,To the north of the bedroom is the kitchen.
12,yes,The bathroom is north of the garden.,To the north of the garden is the bathroom.
13,no,The bedroom is south of the garden.,To the north of the garden is the hallway.
14,yes,$yes$,To the west of the fice is the bedroom.
15,no,$yes$,To the west of the fice is the garden.
16,yes,$yes$,To the south of the garden is the kitchen.
17,no,$yes$,To the south of the garden is the bedroom.
18,yes,$yes$,To the north of the hallway is the bathroom.
19,no,$yes$,To the north of the hallway is the office.
20,yes,yes,To the south of the hallway is the bedroom.
21,no,yes,To the south of the hallway is the office.
22,yes,$yes$,To the east of the bedroom is the office.
23,no,$yes$,To the east of the bedroom is the kitchen.
24,yes,$yes$,To the north of the garden is the hallway.
25,no,$yes$,To the north of the garden is the bathroom.
26,yes,yes,To the west of the garden is the bedroom.
27,no,$yes$,To the west of the garden is the garden.
28,yes,$yes$,To the east of the bathroom is the hallway.
29,no,$yes$,To the east of the bathroom is the bathroom.
30,yes,yes,To the west of the fice is the bathroom.
31,no,yes,To the west of the fice is the office.
32,yes,yes,To the west of the bedroom is the bathroom.
33,no,$yes$,To the west of the bedroom is the bedroom.
34,yes,$yes$,To the north of the hallway is the kitchen.
35,no,$yes$,To the north of the hallway is the bathroom.
36,yes,$yes$,To the south of the kitchen is the bathroom.
37,no,$yes$,To the south of the kitchen is the garden.
38,yes,$yes$,To the south of the bedroom is the office.
39,no,$yes$,To the south of the bedroom is the bathroom.
40,yes,$yes$,To the west of the hallway is the bedroom.
41,no,$yes$,To the west of the hallway is the office.
42,yes,The garden is west of the bedroom. $yes$,To the east of the bedroom is the office.
43,no,The garden is west of the bedroom. $yes$,To the east of the bedroom is the bathroom.
44,yes,$yes$,To the south of the hallway is the bedroom.
45,no,$yes$,To the south of the hallway is the bathroom.
46,yes,$yes$,To the west of the bedroom is the kitchen.
47,no,$yes$,To the west of the bedroom is the bedroom.
48,yes,The bedroom is south of the bathroom. $yes$,To the south of the bathroom is the bedroom.
49,no,The bathroom is north of the hallway.,To the south of the bathroom is the hallway.
50,yes,$yes$,To the west of the bathroom is the hallway.
51,no,$yes$,To the west of the bathroom is the kitchen.
52,yes,$yes$,To the south of the hallway is the office.
53,no,$yes$,To the south of the hallway is the bathroom.
54,yes,$yes$,To the east of the fice is the bedroom.
55,no,$yes$,To the east of the fice is the hallway.
56,yes,$yes$,To the west of the bathroom is the garden.
57,no,$yes$,To the west of the bathroom is the bathroom.
58,yes,$yes$,To the north of the garden is the kitchen.
59,no,$yes$,To the north of the garden is the garden.
60,yes,$yes$,To the east of the garden is the office.
61,no,$yes$,To the east of the garden is the hallway.
62,yes,$yes$,To the south of the hallway is the bathroom.
63,no,$yes$,To the south of the hallway is the garden.
64,yes,$yes$,To the east of the fice is the garden.
65,no,$yes$,To the east of the fice is the bathroom.
66,yes,$yes$,To the south of the hallway is the bedroom.
67,no,$yes$,To the south of the hallway is the kitchen.
68,yes,$yes$,To the east of the hallway is the garden.
69,no,$yes$,To the east of the hallway is the bedroom.
70,yes,yes,To the south of the hallway is the kitchen.
71,no,yes,To the south of the hallway is the garden.
72,yes,$no$,To the west of the kitchen is the bathroom.
73,no,$no$,To the west of the kitchen is the kitchen.
74,yes,yes,To the west of the bathroom is the kitchen.
75,no,yes,To the west of the bathroom is the hallway.
76,yes,$yes$,To the south of the garden is the bathroom.
77,no,$yes$,To the south of the garden is the bedroom.
78,yes,$yes$,To the south of the garden is the bedroom.
79,no,$yes$,To the south of the garden is the office.
80,yes,$yes$,To the west of the bathroom is the bedroom.
81,no,$yes$,To the west of the bathroom is the garden.
82,yes,$yes$,To the west of the fice is the garden.
83,no,$yes$,To the west of the fice is the bathroom.
84,yes,$yes$,To the west of the hallway is the bathroom.
85,no,$yes$,To the west of the hallway is the hallway.
86,yes,$yes$,To the north of the kitchen is the hallway.
87,no,$yes$,To the north of the kitchen is the bathroom.
88,yes,$yes$,To the north of the hallway is the bathroom.
89,no,$yes$,To the north of the hallway is the office.
90,yes,$yes$,To the south of the bedroom is the office.
91,no,$yes$,To the south of the bedroom is the hallway.
92,yes,$yes$,To the west of the fice is the kitchen.
93,no,$yes$,To the west of the fice is the bathroom.
94,yes,yes,To the south of the fice is the bedroom.
95,no,yes,To the south of the fice is the kitchen.
96,yes,$yes$,To the east of the kitchen is the office.
97,no,$yes$,To the east of the kitchen is the kitchen.
98,yes,$yes$,To the south of the bathroom is the hallway.
99,no,$yes$,To the south of the bathroom is the kitchen.
100,yes,$yes$,To the east of the bathroom is the hallway.
101,no,$yes$,To the east of the bathroom is the office.
102,yes,$yes$,To the south of the fice is the bathroom.
103,no,$yes$,To the south of the fice is the kitchen.
104,yes,$yes$,To the east of the hallway is the office.
105,no,$yes$,To the east of the hallway is the bathroom.
106,yes,$yes$,To the south of the bedroom is the kitchen.
107,no,"Statement: To the south of the bedroom is the hallway.

Answer: $yes$",To the south of the bedroom is the bathroom.
108,yes,yes,To the west of the hallway is the kitchen.
109,no,yes,To the west of the hallway is the bathroom.
110,yes,yes,To the east of the bedroom is the bathroom.
111,no,yes,To the east of the bedroom is the office.
112,yes,$yes$,To the south of the kitchen is the bedroom.
113,no,$yes$,To the south of the kitchen is the bathroom.
114,yes,"Statement: To the west of the kitchen is the office.

Answer: no",To the west of the kitchen is the office.
115,no,"Statement: To the west of the kitchen is the bedroom.

Answer: no",To the west of the kitchen is the bedroom.
116,yes,$yes$,To the south of the hallway is the kitchen.
117,no,$yes$,To the south of the hallway is the office.
118,yes,$yes$,To the east of the bedroom is the office.
119,no,$yes$,To the east of the bedroom is the bedroom.
120,yes,$yes$,To the east of the kitchen is the bathroom.
121,no,$yes$,To the east of the kitchen is the bedroom.
122,yes,$yes$,To the south of the bathroom is the kitchen.
123,no,$no$,To the south of the bathroom is the bathroom.
124,yes,$yes$,To the north of the kitchen is the bedroom.
125,no,$yes$,To the north of the kitchen is the garden.
126,yes,$yes$,To the east of the garden is the kitchen.
127,no,$yes$,To the east of the garden is the garden.
128,yes,$yes$,To the south of the hallway is the kitchen.
129,no,$yes$,To the south of the hallway is the garden.
130,yes,$yes$,To the east of the garden is the kitchen.
131,no,$yes$,To the east of the garden is the bedroom.
132,yes,$yes$,To the north of the garden is the hallway.
133,no,$yes$,To the north of the garden is the garden.
134,yes,$yes$,To the south of the bedroom is the garden.
135,no,$yes$,To the south of the bedroom is the bedroom.
136,yes,$yes$,To the south of the hallway is the garden.
137,no,$yes$,To the south of the hallway is the hallway.
138,yes,The hallway is west of the office.,To the west of the kitchen is the office.
139,no,The hallway is west of the office.,To the west of the kitchen is the bathroom.
140,yes,$yes$,To the east of the fice is the bedroom.
141,no,yes,To the east of the fice is the hallway.
142,yes,The hallway is south of the kitchen.,To the south of the kitchen is the hallway.
143,no,The hallway is south of the kitchen.,To the south of the kitchen is the kitchen.
144,yes,"Statement: To the east of the garden is the bedroom.

Answer: $yes$",To the east of the garden is the bedroom.
145,no,$yes$,To the east of the garden is the garden.
146,yes,$yes$,To the west of the kitchen is the bedroom.
147,no,$yes$,To the west of the kitchen is the hallway.
148,yes,$yes$,To the west of the fice is the kitchen.
149,no,$yes$,To the west of the fice is the hallway.
150,yes,$yes$,To the west of the bedroom is the bathroom.
151,no,$yes$,To the west of the bedroom is the kitchen.
152,yes,$yes$,To the south of the bathroom is the office.
153,no,$yes$,To the south of the bathroom is the bathroom.
154,yes,yes,To the north of the garden is the hallway.
155,no,yes,To the north of the garden is the office.
156,yes,$yes$,To the west of the bedroom is the bathroom.
157,no,$yes$,To the west of the bedroom is the kitchen.
158,yes,$yes$,To the north of the bedroom is the kitchen.
159,no,$yes$,To the north of the bedroom is the bathroom.
160,yes,The bedroom is west of the kitchen.,To the east of the kitchen is the bedroom.
161,no,The bedroom is west of the kitchen.,To the east of the kitchen is the kitchen.
162,yes,$yes$,To the east of the bathroom is the garden.
163,no,$yes$,To the east of the bathroom is the bathroom.
164,yes,$no$,To the west of the garden is the hallway.
165,no,$no$,To the west of the garden is the garden.
166,yes,$yes$,To the north of the fice is the kitchen.
167,no,$yes$,To the north of the fice is the garden.
168,yes,$yes$,To the east of the bathroom is the bedroom.
169,no,$yes$,To the east of the bathroom is the office.
170,yes,$yes$,To the east of the garden is the kitchen.
171,no,$yes$,To the east of the garden is the hallway.
172,yes,$yes$,To the west of the hallway is the kitchen.
173,no,$yes$,To the west of the hallway is the bathroom.
174,yes,$yes$,To the east of the garden is the bathroom.
175,no,$yes$,To the east of the garden is the hallway.
176,yes,yes,To the north of the fice is the hallway.
177,no,$yes$,To the north of the fice is the bathroom.
178,yes,$yes$,To the east of the fice is the bathroom.
179,no,$yes$,To the east of the fice is the hallway.
180,yes,The bathroom is north of the garden.,To the north of the garden is the bathroom.
181,no,$yes$,To the north of the garden is the bedroom.
