,target,output,question
0,yes,$yes$,The football is in the kitchen.
1,no,$yes$,The football is in the garden.
2,yes,$no$,The milk is in the garden.
3,no,$no$,The milk is in the office.
4,yes,$no$,The apple is in the bedroom.
5,no,$no$,The apple is in the bathroom.
6,yes,$no$,The apple is in the bedroom.
7,no,$yes$,The apple is in the office.
8,yes,$no$,The apple is in the kitchen.
9,no,$no$,The apple is in the hallway.
10,yes,$no$,The apple is in the hallway.
11,no,$no$,The apple is in the office.
12,yes,$yes$,The milk is in the kitchen.
13,no,$no$,The milk is in the garden.
14,yes,$no$,The milk is in the garden.
15,no,$no$,The milk is in the hallway.
16,yes,$no$,The milk is in the bedroom.
17,no,$no$,The milk is in the hallway.
18,yes,$no$,The milk is in the bathroom.
19,no,$no$,The milk is in the garden.
20,yes,$no$,The football is in the bathroom.
21,no,$no$,The football is in the bedroom.
22,yes,$no$,The milk is in the bedroom.
23,no,$no$,The milk is in the bathroom.
24,yes,$no$,The apple is in the bathroom.
25,no,$no$,The apple is in the kitchen.
26,yes,$no$,The football is in the kitchen.
27,no,$no$,The football is in the bedroom.
28,yes,$no$,The apple is in the bedroom.
29,no,$no$,The apple is in the kitchen.
30,yes,$yes$,The apple is in the garden.
31,no,$yes$,The apple is in the bedroom.
32,yes,$no$,The football is in the bedroom.
33,no,$no$,The football is in the bathroom.
34,yes,$no$,The apple is in the bedroom.
35,no,$no$,The apple is in the office.
36,yes,$no$,The milk is in the garden.
37,no,$no$,The milk is in the kitchen.
38,yes,$no$,The milk is in the garden.
39,no,$no$,The milk is in the bathroom.
40,yes,$no$,The apple is in the office.
41,no,$no$,The apple is in the garden.
42,yes,$no$,The milk is in the bedroom.
43,no,$yes$,The milk is in the hallway.
44,yes,$yes$,The milk is in the garden.
45,no,$yes$,The milk is in the kitchen.
46,yes,$no$,The milk is in the bathroom.
47,no,$yes$,The milk is in the hallway.
48,yes,$no$,The apple is in the office.
49,no,$no$,The apple is in the kitchen.
50,yes,$yes$,The football is in the garden.
51,no,$no$,The football is in the bedroom.
52,yes,$yes$,The football is in the garden.
53,no,$yes$,The football is in the hallway.
54,yes,$no$,The apple is in the bedroom.
55,no,$no$,The apple is in the office.
56,yes,$no$,The apple is in the hallway.
57,no,$no$,The apple is in the bathroom.
58,yes,$yes$,The apple is in the hallway.
59,no,$yes$,The apple is in the kitchen.
60,yes,$yes$,The apple is in the hallway.
61,no,$no$,The apple is in the bathroom.
62,yes,$yes$,The football is in the garden.
63,no,$no$,The football is in the bedroom.
64,yes,$yes$,The apple is in the hallway.
65,no,$yes$,The apple is in the bathroom.
66,yes,$no$,The football is in the kitchen.
67,no,$no$,The football is in the bedroom.
68,yes,$no$,The milk is in the hallway.
69,no,$no$,The milk is in the bathroom.
70,yes,$yes$,The apple is in the kitchen.
71,no,$no$,The apple is in the bedroom.
