,target,output,question
0,yes,$yes$,The football before the garden was in the kitchen.
1,no,$yes$,The football before the garden was in the office.
2,yes,$yes$,The apple before the kitchen was in the bathroom.
3,no,$yes$,The apple before the kitchen was in the kitchen.
4,yes,$yes$,The apple before the garden was in the kitchen.
5,no,$yes$,The apple before the garden was in the bathroom.
6,yes,$yes$,The apple before the bedroom was in the garden.
7,no,$yes$,The apple before the bedroom was in the kitchen.
8,yes,$yes$,The football before the bathroom was in the kitchen.
9,no,$yes$,The football before the bathroom was in the bedroom.
10,yes,$yes$,The football before the hallway was in the office.
11,no,$yes$,The football before the hallway was in the garden.
12,yes,$yes$,The apple before the bathroom was in the garden.
13,no,$yes$,The apple before the bathroom was in the office.
14,yes,$yes$,The milk before the bathroom was in the office.
15,no,$yes$,The milk before the bathroom was in the kitchen.
16,yes,$yes$,The apple before the bathroom was in the hallway.
17,no,$yes$,The apple before the bathroom was in the bathroom.
18,yes,$yes$,The milk before the garden was in the kitchen.
19,no,$yes$,The milk before the garden was in the office.
20,yes,$yes$,The milk before the bedroom was in the kitchen.
21,no,$yes$,The milk before the bedroom was in the office.
22,yes,$yes$,The football before the hallway was in the garden.
23,no,$yes$,The football before the hallway was in the office.
24,yes,$yes$,The milk before the kitchen was in the hallway.
25,no,$yes$,The milk before the kitchen was in the kitchen.
26,yes,$yes$,The apple before the bathroom was in the bedroom.
27,no,$yes$,The apple before the bathroom was in the office.
28,yes,$yes$,The apple before the bathroom was in the bedroom.
29,no,$yes$,The apple before the bathroom was in the office.
30,yes,$yes$,The milk before the office was in the kitchen.
31,no,$yes$,The milk before the office was in the bedroom.
32,yes,$yes$,The milk before the kitchen was in the bedroom.
33,no,$yes$,The milk before the kitchen was in the office.
34,yes,$yes$,The football before the kitchen was in the bathroom.
35,no,$yes$,The football before the kitchen was in the hallway.
36,yes,$yes$,The milk before the office was in the garden.
37,no,$yes$,The milk before the office was in the hallway.
38,yes,$yes$,The football before the bedroom was in the bathroom.
39,no,$yes$,The football before the bedroom was in the bedroom.
40,yes,$yes$,The milk before the office was in the kitchen.
41,no,$yes$,The milk before the office was in the hallway.
42,yes,$yes$,The apple before the garden was in the kitchen.
43,no,$yes$,The apple before the garden was in the office.
44,yes,$yes$,The milk before the office was in the bedroom.
45,no,$yes$,The milk before the office was in the office.
46,yes,$yes$,The apple before the bedroom was in the hallway.
47,no,$yes$,The apple before the bedroom was in the kitchen.
48,yes,$yes$,The apple before the kitchen was in the bedroom.
49,no,$yes$,The apple before the kitchen was in the hallway.
50,yes,$yes$,The apple before the hallway was in the bathroom.
51,no,$yes$,The apple before the hallway was in the hallway.
52,yes,$yes$,The milk before the office was in the bathroom.
53,no,$yes$,The milk before the office was in the bedroom.
54,yes,$no$,The football before the bedroom was in the office.
55,no,$yes$,The football before the bedroom was in the bedroom.
56,yes,$yes$,The football before the hallway was in the bedroom.
57,no,$yes$,The football before the hallway was in the bathroom.
58,yes,$yes$,The apple before the bedroom was in the kitchen.
59,no,$yes$,The apple before the bedroom was in the hallway.
60,yes,$yes$,The football before the bathroom was in the hallway.
61,no,$yes$,The football before the bathroom was in the kitchen.
62,yes,$yes$,The milk before the garden was in the kitchen.
