,target,output,question
0,yes,$yes$,To the east of the bathroom is the bedroom.
1,no,$yes$,To the east of the bathroom is the garden.
2,yes,$yes$,To the south of the fice is the kitchen.
3,no,$yes$,To the south of the fice is the bedroom.
4,yes,$no$,To the north of the fice is the garden.
5,no,$no$,To the north of the fice is the hallway.
6,yes,$no$,To the north of the bedroom is the garden.
7,no,$yes$,To the north of the bedroom is the kitchen.
8,yes,$yes$,To the south of the bathroom is the garden.
9,no,$yes$,To the south of the bathroom is the office.
10,yes,$yes$,To the north of the bedroom is the office.
11,no,$yes$,To the north of the bedroom is the hallway.
12,yes,$no$,To the north of the garden is the bathroom.
13,no,$yes$,To the north of the garden is the kitchen.
14,yes,$yes$,To the west of the fice is the bedroom.
15,no,$yes$,To the west of the fice is the hallway.
16,yes,$no$,To the south of the garden is the kitchen.
17,no,$no$,To the south of the garden is the office.
18,yes,$yes$,To the north of the hallway is the bathroom.
19,no,$yes$,To the north of the hallway is the hallway.
20,yes,$yes$,To the south of the hallway is the bedroom.
21,no,$yes$,To the south of the hallway is the hallway.
22,yes,$yes$,To the east of the bedroom is the office.
23,no,$no$,To the east of the bedroom is the bathroom.
24,yes,$yes$,To the north of the garden is the hallway.
25,no,$yes$,To the north of the garden is the kitchen.
26,yes,$no$,To the west of the garden is the bedroom.
27,no,$no$,To the west of the garden is the bathroom.
28,yes,$yes$,To the east of the bathroom is the hallway.
29,no,$yes$,To the east of the bathroom is the office.
30,yes,$no$,To the west of the fice is the bathroom.
31,no,$no$,To the west of the fice is the bedroom.
32,yes,$no$,To the west of the bedroom is the bathroom.
33,no,$yes$,To the west of the bedroom is the kitchen.
34,yes,$yes$,To the north of the hallway is the kitchen.
35,no,$yes$,To the north of the hallway is the bedroom.
36,yes,$no$,To the south of the kitchen is the bathroom.
37,no,$no$,To the south of the kitchen is the kitchen.
38,yes,$no$,To the south of the bedroom is the office.
39,no,$no$,To the south of the bedroom is the bedroom.
40,yes,$no$,To the west of the hallway is the bedroom.
41,no,$no$,To the west of the hallway is the kitchen.
42,yes,$no$,To the east of the bedroom is the office.
43,no,$yes$,To the east of the bedroom is the bedroom.
44,yes,$yes$,To the south of the hallway is the bedroom.
45,no,$yes$,To the south of the hallway is the garden.
46,yes,$no$,To the west of the bedroom is the kitchen.
47,no,$no$,To the west of the bedroom is the garden.
48,yes,$yes$,To the south of the bathroom is the bedroom.
49,no,$yes$,To the south of the bathroom is the bathroom.
50,yes,$yes$,To the west of the bathroom is the hallway.
51,no,$no$,To the west of the bathroom is the kitchen.
52,yes,$yes$,To the south of the hallway is the office.
53,no,$yes$,To the south of the hallway is the kitchen.
54,yes,$yes$,To the east of the fice is the bedroom.
55,no,$yes$,To the east of the fice is the bathroom.
56,yes,$no$,To the west of the bathroom is the garden.
57,no,$no$,To the west of the bathroom is the kitchen.
58,yes,$no$,To the north of the garden is the kitchen.
59,no,$no$,To the north of the garden is the bedroom.
60,yes,$yes$,To the east of the garden is the office.
61,no,$yes$,To the east of the garden is the kitchen.
62,yes,$yes$,To the south of the hallway is the bathroom.
63,no,$yes$,To the south of the hallway is the bedroom.
64,yes,$yes$,To the east of the fice is the garden.
65,no,$yes$,To the east of the fice is the office.
66,yes,$yes$,To the south of the hallway is the bedroom.
67,no,$yes$,To the south of the hallway is the garden.
68,yes,$no$,To the east of the hallway is the garden.
69,no,$no$,To the east of the hallway is the kitchen.
