,target,output,question
0,yes,$yes$,To the east of the bathroom is the bedroom.
1,no,$yes$,To the east of the bathroom is the office.
2,yes,$yes$,To the south of the fice is the kitchen.
3,no,$yes$,To the south of the fice is the bathroom.
4,yes,$no$,To the north of the fice is the garden.
5,no,$no$,To the north of the fice is the hallway.
6,yes,$no$,To the north of the bedroom is the garden.
7,no,$yes$,To the north of the bedroom is the bedroom.
8,yes,$yes$,To the south of the bathroom is the garden.
9,no,$yes$,To the south of the bathroom is the bedroom.
10,yes,$yes$,To the north of the bedroom is the office.
11,no,$yes$,To the north of the bedroom is the bedroom.
12,yes,$no$,To the north of the garden is the bathroom.
13,no,$no$,To the north of the garden is the bedroom.
14,yes,$no$,To the west of the fice is the bedroom.
15,no,$no$,To the west of the fice is the garden.
16,yes,$yes$,To the south of the garden is the kitchen.
17,no,$no$,To the south of the garden is the office.
18,yes,$yes$,To the north of the hallway is the bathroom.
19,no,$yes$,To the north of the hallway is the hallway.
20,yes,$yes$,To the south of the hallway is the bedroom.
21,no,$yes$,To the south of the hallway is the office.
22,yes,$no$,To the east of the bedroom is the office.
23,no,$no$,To the east of the bedroom is the bedroom.
24,yes,$yes$,To the north of the garden is the hallway.
25,no,$no$,To the north of the garden is the office.
26,yes,$no$,To the west of the garden is the bedroom.
27,no,$no$,To the west of the garden is the hallway.
28,yes,$yes$,To the east of the bathroom is the hallway.
29,no,$yes$,To the east of the bathroom is the office.
30,yes,$no$,To the west of the fice is the bathroom.
31,no,$no$,To the west of the fice is the kitchen.
32,yes,$no$,To the west of the bedroom is the bathroom.
33,no,$no$,To the west of the bedroom is the bedroom.
34,yes,$yes$,To the north of the hallway is the kitchen.
35,no,$yes$,To the north of the hallway is the hallway.
36,yes,$yes$,To the south of the kitchen is the bathroom.
37,no,$yes$,To the south of the kitchen is the hallway.
38,yes,$yes$,To the south of the bedroom is the office.
39,no,$yes$,To the south of the bedroom is the kitchen.
40,yes,$yes$,To the west of the hallway is the bedroom.
41,no,$no$,To the west of the hallway is the office.
42,yes,$yes$,To the east of the bedroom is the office.
43,no,$no$,To the east of the bedroom is the bathroom.
44,yes,$yes$,To the south of the hallway is the bedroom.
45,no,$yes$,To the south of the hallway is the kitchen.
46,yes,$yes$,To the west of the bedroom is the kitchen.
