,target,output,question
0,yes,yes,The football before the garden was in the kitchen.
1,no,yes,The football before the garden was in the bedroom.
2,yes,$yes$,The football before the hallway was in the garden.
3,no,$yes$,The football before the hallway was in the bathroom.
4,yes,no,The football before the hallway was in the office.
5,no,yes,The football before the hallway was in the garden.
6,yes,$yes$,The apple before the office was in the kitchen.
7,no,$yes$,The apple before the office was in the bedroom.
8,yes,$yes$,The milk before the hallway was in the garden.
9,no,$yes$,The milk before the hallway was in the office.
10,yes,$yes$,The milk before the office was in the hallway.
11,no,$yes$,The milk before the office was in the office.
12,yes,$yes$,The milk before the office was in the kitchen.
13,no,$yes$,The milk before the office was in the office.
14,yes,$yes$,The football before the kitchen was in the hallway.
15,no,$yes$,The football before the kitchen was in the bedroom.
16,yes,$yes$,The milk before the hallway was in the garden.
17,no,$yes$,The milk before the hallway was in the kitchen.
18,yes,$yes$,The milk before the bedroom was in the kitchen.
19,no,$yes$,The milk before the bedroom was in the bedroom.
20,yes,no,The football before the kitchen was in the office.
21,no,$yes$,The football before the kitchen was in the hallway.
22,yes,$yes$,The milk before the office was in the kitchen.
23,no,$yes$,The milk before the office was in the bathroom.
24,yes,$yes$,The milk before the kitchen was in the bedroom.
25,no,no,The milk before the kitchen was in the office.
26,yes,$yes$,The football before the garden was in the kitchen.
27,no,$yes$,The football before the garden was in the bathroom.
28,yes,$yes$,The football before the garden was in the kitchen.
29,no,$yes$,The football before the garden was in the garden.
30,yes,$yes$,The milk before the kitchen was in the hallway.
31,no,$yes$,The milk before the kitchen was in the bedroom.
32,yes,yes,The apple before the office was in the hallway.
33,no,no,The apple before the office was in the garden.
34,yes,$yes$,The apple before the office was in the bathroom.
35,no,$yes$,The apple before the office was in the garden.
36,yes,$yes$,The apple before the bedroom was in the hallway.
37,no,yes,The apple before the bedroom was in the office.
38,yes,$yes$,The milk before the office was in the bedroom.
39,no,$yes$,The milk before the office was in the office.
40,yes,no,The football before the bedroom was in the bathroom.
41,no,$yes$,The football before the bedroom was in the bedroom.
42,yes,$yes$,The football before the hallway was in the garden.
43,no,$yes$,The football before the hallway was in the office.
44,yes,yes,The apple before the hallway was in the bathroom.
45,no,yes,The apple before the hallway was in the bedroom.
46,yes,$yes$,The milk before the office was in the bathroom.
47,no,$yes$,The milk before the office was in the hallway.
48,yes,$yes$,The milk before the bathroom was in the kitchen.
49,no,$yes$,The milk before the bathroom was in the hallway.
50,yes,$yes$,The milk before the bathroom was in the office.
51,no,$yes$,The milk before the bathroom was in the kitchen.
52,yes,$yes$,The football before the bathroom was in the hallway.
