,target,output,question
0,yes,$yes$,Mary is carrying one object.
1,no,$yes$,Mary is carrying three objects.
2,yes,$yes$,Mary is carrying no object.
3,no,$yes$,Mary is carrying three objects.
4,yes,$yes$,Sandra is carrying one object.
5,no,$no$,Sandra is carrying no object.
6,yes,$no$,Mary is carrying one object.
7,no,$no$,Mary is carrying two objects.
8,yes,"Statement: Mary travelled to the garden. 

$yes$",Mary is carrying no object.
9,no,$no$,Mary is carrying one object.
10,yes,$yes$,Sandra is carrying one object.
11,no,$yes$,Sandra is carrying no object.
12,yes,$yes$,Sandra is carrying no object.
13,no,$yes$,Sandra is carrying one object.
14,yes,$yes$,Daniel is carrying no object.
15,no,$yes$,Daniel is carrying three objects.
16,yes,$no$,Mary is carrying one object.
17,no,$no$,Mary is carrying no object.
18,yes,$no$,Mary is carrying no object.
19,no,$no$,Mary is carrying two objects.
20,yes,$no$,John is carrying one object.
21,no,$no$,John is carrying three objects.
22,yes,$no$,Mary is carrying no object.
23,no,$no$,Mary is carrying two objects.
24,yes,$no$,Mary is carrying no object.
25,no,$no$,Mary is carrying two objects.
26,yes,$yes$,Daniel is carrying one object.
27,no,$yes$,Daniel is carrying two objects.
28,yes,$yes$,John is carrying one object.
29,no,$no$,John is carrying no object.
30,yes,$no$,Daniel is carrying no object.
31,no,$no$,Daniel is carrying three objects.
32,yes,$no$,Mary is carrying no object.
33,no,$no$,Mary is carrying two objects.
34,yes,$yes$,Daniel is carrying one object.
35,no,$no$,Daniel is carrying three objects.
36,yes,$no$,John is carrying no object.
37,no,$no$,John is carrying three objects.
38,yes,$no$,Mary is carrying one object.
39,no,$no$,Mary is carrying two objects.
40,yes,$yes$,Daniel is carrying one object.
41,no,$yes$,Daniel is carrying no object.
42,yes,$no$,John is carrying one object.
43,no,$no$,John is carrying two objects.
44,yes,$yes$,John is carrying one object.
45,no,$no$,John is carrying three objects.
46,yes,$no$,John is carrying two objects.
47,no,$no$,John is carrying three objects.
48,yes,$yes$,Sandra is carrying one object.
49,no,$yes$,Sandra is carrying three objects.
50,yes,$no$,Sandra is carrying no object.
51,no,$yes$,Sandra is carrying two objects.
52,yes,$no$,Mary is carrying one object.
53,no,$no$,Mary is carrying two objects.
54,yes,$yes$,John is carrying one object.
55,no,$no$,John is carrying no object.
56,yes,$yes$,John is carrying no object.
57,no,$yes$,John is carrying three objects.
58,yes,$no$,John is carrying no object.
59,no,$no$,John is carrying one object.
60,yes,$no$,Mary is carrying no object.
61,no,$no$,Mary is carrying three objects.
62,yes,$yes$,Sandra is carrying one object.
63,no,$yes$,Sandra is carrying three objects.
64,yes,$yes$,Sandra is carrying one object.
65,no,"Statement: Sandra is carrying two objects.

Answer: $yes$",Sandra is carrying three objects.
66,yes,$yes$,Daniel is carrying one object.
67,no,$yes$,Daniel is carrying three objects.
68,yes,$no$,Mary is carrying no object.
69,no,$no$,Mary is carrying one object.
70,yes,$yes$,Mary is carrying one object.
71,no,$yes$,Mary is carrying three objects.
72,yes,$yes$,Sandra is carrying one object.
73,no,$yes$,Sandra is carrying three objects.
74,yes,$no$,Mary is carrying no object.
75,no,$no$,Mary is carrying two objects.
76,yes,$no$,Sandra is carrying one object.
77,no,$no$,Sandra is carrying two objects.
78,yes,$yes$,Mary is carrying one object.
79,no,$no$,Mary is carrying two objects.
80,yes,$yes$,Sandra is carrying no object.
81,no,$yes$,Sandra is carrying two objects.
82,yes,$no$,Mary is carrying no object.
83,no,$no$,Mary is carrying one object.
84,yes,$no$,Sandra is carrying one object.
85,no,$no$,Sandra is carrying no object.
86,yes,$yes$,Daniel is carrying one object.
87,no,$yes$,Daniel is carrying no object.
88,yes,$yes$,Sandra is carrying one object.
89,no,$yes$,Sandra is carrying two objects.
90,yes,$no$,Sandra is carrying one object.
91,no,$no$,Sandra is carrying three objects.
92,yes,$no$,Sandra is carrying no object.
93,no,$no$,Sandra is carrying one object.
94,yes,$no$,John is carrying two objects.
95,no,$no$,John is carrying three objects.
96,yes,$no$,Mary is carrying one object.
97,no,$no$,Mary is carrying three objects.
98,yes,$yes$,Mary is carrying no object.
99,no,$yes$,Mary is carrying one object.
100,yes,$yes$,Sandra is carrying one object.
101,no,$yes$,Sandra is carrying two objects.
102,yes,$no$,Sandra is carrying no object.
103,no,$yes$,Sandra is carrying one object.
104,yes,$no$,Mary is carrying one object.
105,no,$no$,Mary is carrying two objects.
106,yes,$no$,Sandra is carrying no object.
107,no,$no$,Sandra is carrying three objects.
108,yes,$yes$,Daniel is carrying one object.
109,no,$no$,Daniel is carrying no object.
110,yes,$no$,Daniel is carrying no object.
111,no,$no$,Daniel is carrying three objects.
112,yes,$yes$,John is carrying one object.
113,no,$no$,John is carrying no object.
114,yes,$no$,Daniel is carrying one object.
115,no,$no$,Daniel is carrying two objects.
116,yes,$no$,John is carrying no object.
117,no,$no$,John is carrying one object.
118,yes,$yes$,Daniel is carrying two objects.
119,no,$yes$,Daniel is carrying no object.
120,yes,$yes$,Daniel is carrying one object.
121,no,$yes$,Daniel is carrying two objects.
122,yes,$no$,Sandra is carrying no object.
123,no,$yes$,Sandra is carrying one object.
124,yes,$yes$,Daniel is carrying one object.
125,no,$yes$,Daniel is carrying no object.
126,yes,$no$,John is carrying one object.
127,no,$no$,John is carrying two objects.
128,yes,$no$,Daniel is carrying no object.
129,no,$no$,Daniel is carrying one object.
130,yes,$yes$,Sandra is carrying no object.
131,no,$yes$,Sandra is carrying two objects.
132,yes,$no$,John is carrying one object.
133,no,$no$,John is carrying three objects.
134,yes,$no$,Mary is carrying one object.
135,no,$no$,Mary is carrying three objects.
136,yes,$yes$,John is carrying no object.
137,no,$yes$,John is carrying one object.
138,yes,$no$,Sandra is carrying no object.
139,no,$yes$,Sandra is carrying one object.
140,yes,$yes$,Sandra is carrying no object.
141,no,$yes$,Sandra is carrying two objects.
142,yes,$no$,Mary is carrying no object.
143,no,$no$,Mary is carrying three objects.
144,yes,$no$,Mary is carrying no object.
145,no,$no$,Mary is carrying three objects.
146,yes,$no$,Mary is carrying no object.
147,no,$no$,Mary is carrying three objects.
148,yes,$no$,John is carrying no object.
149,no,$no$,John is carrying three objects.
150,yes,$no$,John is carrying no object.
151,no,$no$,John is carrying three objects.
152,yes,$no$,Mary is carrying no object.
153,no,$no$,Mary is carrying one object.
154,yes,$no$,John is carrying one object.
155,no,$no$,John is carrying two objects.
156,yes,$yes$,Sandra is carrying no object.
