,target,output,question
0,yes,$yes$,The football before the garden was in the kitchen.
1,no,$yes$,The football before the garden was in the bathroom.
2,yes,$yes$,The apple before the kitchen was in the bathroom.
3,no,$yes$,The apple before the kitchen was in the bedroom.
4,yes,$yes$,The apple before the garden was in the kitchen.
5,no,$yes$,The apple before the garden was in the bathroom.
6,yes,yes,The apple before the bedroom was in the garden.
7,no,yes,The apple before the bedroom was in the office.
8,yes,$yes$,The football before the bathroom was in the kitchen.
9,no,yes,The football before the bathroom was in the bedroom.
10,yes,yes,The football before the hallway was in the office.
11,no,yes,The football before the hallway was in the hallway.
12,yes,$yes$,The apple before the bathroom was in the garden.
13,no,$yes$,The apple before the bathroom was in the office.
14,yes,$yes$,The milk before the bathroom was in the office.
15,no,$yes$,The milk before the bathroom was in the bathroom.
16,yes,$yes$,The apple before the bathroom was in the hallway.
17,no,$yes$,The apple before the bathroom was in the garden.
18,yes,$yes$,The milk before the garden was in the kitchen.
19,no,$yes$,The milk before the garden was in the hallway.
20,yes,$yes$,The milk before the bedroom was in the kitchen.
21,no,$yes$,The milk before the bedroom was in the garden.
22,yes,$yes$,The football before the hallway was in the garden.
23,no,$yes$,The football before the hallway was in the hallway.
24,yes,yes,The milk before the kitchen was in the hallway.
25,no,yes,The milk before the kitchen was in the garden.
26,yes,$yes$,The apple before the bathroom was in the bedroom.
27,no,$yes$,The apple before the bathroom was in the kitchen.
28,yes,yes,The apple before the bathroom was in the bedroom.
29,no,$yes$,The apple before the bathroom was in the kitchen.
30,yes,yes,The milk before the office was in the kitchen.
31,no,yes,The milk before the office was in the garden.
32,yes,$yes$,The milk before the kitchen was in the bedroom.
33,no,$yes$,The milk before the kitchen was in the bathroom.
34,yes,$yes$,The football before the kitchen was in the bathroom.
35,no,yes,The football before the kitchen was in the hallway.
36,yes,$yes$,The milk before the office was in the garden.
37,no,$yes$,The milk before the office was in the bedroom.
38,yes,yes,The football before the bedroom was in the bathroom.
39,no,yes,The football before the bedroom was in the garden.
40,yes,$yes$,The milk before the office was in the kitchen.
41,no,$yes$,The milk before the office was in the bathroom.
42,yes,$yes$,The apple before the garden was in the kitchen.
43,no,$yes$,The apple before the garden was in the bathroom.
44,yes,yes,The milk before the office was in the bedroom.
45,no,yes,The milk before the office was in the office.
46,yes,yes,The apple before the bedroom was in the hallway.
47,no,yes,The apple before the bedroom was in the bathroom.
48,yes,$yes$,The apple before the kitchen was in the bedroom.
49,no,$yes$,The apple before the kitchen was in the garden.
50,yes,$yes$,The apple before the hallway was in the bathroom.
51,no,$yes$,The apple before the hallway was in the hallway.
52,yes,$yes$,The milk before the office was in the bathroom.
53,no,$yes$,The milk before the office was in the bedroom.
54,yes,$yes$,The football before the bedroom was in the office.
55,no,$yes$,The football before the bedroom was in the kitchen.
56,yes,$yes$,The football before the hallway was in the bedroom.
57,no,$yes$,The football before the hallway was in the hallway.
58,yes,yes,The apple before the bedroom was in the kitchen.
59,no,yes,The apple before the bedroom was in the hallway.
60,yes,yes,The football before the bathroom was in the hallway.
61,no,$yes$,The football before the bathroom was in the kitchen.
62,yes,yes,The milk before the garden was in the kitchen.
63,no,yes,The milk before the garden was in the office.
64,yes,$yes$,The milk before the garden was in the office.
65,no,$yes$,The milk before the garden was in the garden.
66,yes,$yes$,The milk before the garden was in the bedroom.
67,no,$yes$,The milk before the garden was in the kitchen.
68,yes,$yes$,The football before the bedroom was in the hallway.
69,no,$yes$,The football before the bedroom was in the office.
70,yes,yes,The apple before the bathroom was in the hallway.
71,no,yes,The apple before the bathroom was in the garden.
72,yes,yes,The milk before the bathroom was in the office.
73,no,yes,The milk before the bathroom was in the bedroom.
74,yes,$yes$,The football before the bedroom was in the garden.
75,no,$yes$,The football before the bedroom was in the bathroom.
76,yes,$yes$,The milk before the kitchen was in the office.
77,no,$yes$,The milk before the kitchen was in the bathroom.
78,yes,yes,The milk before the bedroom was in the garden.
79,no,yes,The milk before the bedroom was in the hallway.
80,yes,$yes$,The football before the bathroom was in the hallway.
81,no,$yes$,The football before the bathroom was in the bathroom.
82,yes,$yes$,The apple before the bedroom was in the kitchen.
83,no,yes,The apple before the bedroom was in the bathroom.
84,yes,$yes$,The apple before the office was in the garden.
85,no,$yes$,The apple before the office was in the office.
86,yes,$yes$,The apple before the garden was in the bedroom.
87,no,yes,The apple before the garden was in the hallway.
88,yes,$yes$,The apple before the bedroom was in the kitchen.
89,no,$yes$,The apple before the bedroom was in the bedroom.
90,yes,yes,The apple before the bathroom was in the garden.
91,no,yes,The apple before the bathroom was in the bathroom.
92,yes,yes,The football before the bedroom was in the office.
93,no,yes,The football before the bedroom was in the bedroom.
94,yes,$yes$,The football before the garden was in the office.
95,no,$yes$,The football before the garden was in the bedroom.
96,yes,$yes$,The apple before the kitchen was in the bathroom.
97,no,$yes$,The apple before the kitchen was in the kitchen.
98,yes,$yes$,The football before the office was in the bathroom.
99,no,$yes$,The football before the office was in the garden.
100,yes,$yes$,The football before the kitchen was in the bedroom.
101,no,yes,The football before the kitchen was in the hallway.
102,yes,$yes$,The football before the kitchen was in the bedroom.
103,no,$yes$,The football before the kitchen was in the office.
104,yes,$yes$,The milk before the bedroom was in the garden.
105,no,$yes$,The milk before the bedroom was in the hallway.
106,yes,$yes$,The milk before the hallway was in the bathroom.
107,no,$yes$,The milk before the hallway was in the kitchen.
108,yes,$yes$,The apple before the office was in the garden.
109,no,$yes$,The apple before the office was in the bedroom.
110,yes,$yes$,The football before the kitchen was in the garden.
111,no,yes,The football before the kitchen was in the hallway.
112,yes,$yes$,The milk before the hallway was in the office.
113,no,$yes$,The milk before the hallway was in the hallway.
114,yes,$yes$,The milk before the office was in the bathroom.
115,no,$yes$,The milk before the office was in the office.
116,yes,$yes$,The football before the office was in the bedroom.
117,no,$yes$,The football before the office was in the garden.
118,yes,$yes$,The milk before the office was in the garden.
119,no,$yes$,The milk before the office was in the hallway.
120,yes,$yes$,The milk before the office was in the garden.
121,no,$yes$,The milk before the office was in the office.
122,yes,yes,The milk before the hallway was in the garden.
123,no,yes,The milk before the hallway was in the kitchen.
124,yes,$yes$,The football before the kitchen was in the hallway.
125,no,$yes$,The football before the kitchen was in the bedroom.
126,yes,yes,The apple before the hallway was in the bathroom.
127,no,$yes$,The apple before the hallway was in the bedroom.
128,yes,yes,The milk before the kitchen was in the bathroom.
129,no,$yes$,The milk before the kitchen was in the kitchen.
130,yes,$yes$,The milk before the kitchen was in the bathroom.
131,no,$yes$,The milk before the kitchen was in the hallway.
132,yes,$yes$,The milk before the garden was in the office.
133,no,$yes$,The milk before the garden was in the bedroom.
