,target,output,question
0,yes,$yes$,The football is in the kitchen.
1,no,$yes$,The football is in the hallway.
2,yes,$no$,The milk is in the garden.
3,no,$no$,The milk is in the hallway.
4,yes,$no$,The apple is in the bedroom.
5,no,$no$,The apple is in the office.
6,yes,$no$,The apple is in the bedroom.
7,no,$no$,The apple is in the garden.
8,yes,$yes$,The apple is in the kitchen.
9,no,$yes$,The apple is in the bathroom.
10,yes,$no$,The apple is in the hallway.
11,no,$no$,The apple is in the bedroom.
12,yes,$yes$,The milk is in the kitchen.
13,no,$no$,The milk is in the bathroom.
14,yes,$no$,The milk is in the garden.
15,no,$no$,The milk is in the hallway.
16,yes,$yes$,The milk is in the bedroom.
17,no,$yes$,The milk is in the garden.
18,yes,$yes$,The milk is in the bathroom.
19,no,$yes$,The milk is in the bedroom.
20,yes,$no$,The football is in the bathroom.
21,no,$no$,The football is in the office.
22,yes,$no$,The milk is in the bedroom.
23,no,$no$,The milk is in the kitchen.
24,yes,$no$,The apple is in the bathroom.
25,no,$no$,The apple is in the bedroom.
26,yes,$no$,The football is in the kitchen.
27,no,$no$,The football is in the office.
28,yes,$no$,The apple is in the bedroom.
29,no,$no$,The apple is in the garden.
30,yes,$yes$,The apple is in the garden.
31,no,$yes$,The apple is in the hallway.
32,yes,$no$,The football is in the bedroom.
33,no,$yes$,The football is in the hallway.
34,yes,$no$,The apple is in the bedroom.
35,no,$no$,The apple is in the bathroom.
36,yes,$no$,The milk is in the garden.
37,no,$no$,The milk is in the kitchen.
38,yes,$no$,The milk is in the garden.
39,no,$no$,The milk is in the hallway.
40,yes,$yes$,The apple is in the office.
41,no,$yes$,The apple is in the bathroom.
42,yes,$yes$,The milk is in the bedroom.
43,no,$no$,The milk is in the bathroom.
44,yes,$no$,The milk is in the garden.
45,no,$yes$,The milk is in the hallway.
46,yes,$no$,The milk is in the bathroom.
47,no,$no$,The milk is in the bedroom.
48,yes,$yes$,The apple is in the office.
49,no,$no$,The apple is in the bedroom.
50,yes,$yes$,The football is in the garden.
51,no,$yes$,The football is in the hallway.
52,yes,$yes$,The football is in the garden.
53,no,$yes$,The football is in the kitchen.
54,yes,$yes$,The apple is in the bedroom.
55,no,$yes$,The apple is in the office.
56,yes,$yes$,The apple is in the hallway.
57,no,$yes$,The apple is in the garden.
58,yes,$no$,The apple is in the hallway.
59,no,$yes$,The apple is in the garden.
60,yes,$yes$,The apple is in the hallway.
61,no,$yes$,The apple is in the garden.
62,yes,$yes$,The football is in the garden.
63,no,$yes$,The football is in the bathroom.
64,yes,$no$,The apple is in the hallway.
65,no,$no$,The apple is in the bedroom.
